2020-04-07 21:03:11, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.56, 	0.07088, 	154.28, 	3.34482, 	0.829660%, 	0.300000%, 	0.529660%
2020-04-07 21:03:41, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.56, 	0.07088, 	154.11, 	0.20801, 	0.940886%, 	0.300000%, 	0.640886%
2020-04-07 21:04:11, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.56, 	0.07088, 	154.17, 	0.20801, 	0.901602%, 	0.300000%, 	0.601602%
2020-04-07 21:04:41, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.56, 	0.07088, 	153.66, 	0.88652, 	1.236496%, 	0.300000%, 	0.936496%
2020-04-07 21:05:11, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.46, 	0.06433, 	153.07, 	0.898, 	1.561377%, 	0.300000%, 	1.261377%
2020-04-07 21:05:41, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.48, 	0.13582, 	152.42, 	0.20949, 	1.351529%, 	0.300000%, 	1.051529%
2020-04-07 21:07:37, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.48, 	0.3406, 	153.21, 	0.20949, 	0.828928%, 	0.300000%, 	0.528928%
2020-04-07 21:08:07, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.48, 	0.3406, 	153.24, 	0.20949, 	0.809188%, 	0.300000%, 	0.509188%
2020-04-07 21:08:37, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.86, 	0.20949, 	153.52, 	0.06433, 	0.872850%, 	0.300000%, 	0.572850%
2020-04-07 21:09:07, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.87, 	0.197, 	153.69, 	0.06433, 	0.767779%, 	0.300000%, 	0.467779%
2020-04-07 21:09:37, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.87, 	0.197, 	153.68, 	0.06433, 	0.774336%, 	0.300000%, 	0.474336%
2020-04-07 21:10:07, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	154.86, 	0.20949, 	153.59, 	0.06433, 	0.826877%, 	0.300000%, 	0.526877%
2020-04-07 21:10:37, 	Binance     , 	Bitfinex    , 	ETH/EUR, 	155.46, 	0.06433, 	153.22, 	9.85779, 	1.461950%, 	0.300000%, 	1.161950%
