2020-04-11 13:01:55, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.65e-05, 	877.0, 	2.637e-05, 	305.69509933, 	0.492984%, 	0.350000%, 	0.142984%
2020-04-11 13:02:10, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.652e-05, 	2658.0, 	2.637e-05, 	305.69509933, 	0.568828%, 	0.350000%, 	0.218828%
2020-04-11 13:02:25, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.655e-05, 	642.0, 	2.637e-05, 	305.69509933, 	0.682594%, 	0.350000%, 	0.332594%
2020-04-11 13:02:40, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.655e-05, 	4052.0, 	2.637e-05, 	305.69509933, 	0.682594%, 	0.350000%, 	0.332594%
2020-04-11 13:02:55, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.655e-05, 	4052.0, 	2.637e-05, 	305.69509933, 	0.682594%, 	0.350000%, 	0.332594%
2020-04-11 13:03:10, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.655e-05, 	4052.0, 	2.637e-05, 	305.69509933, 	0.682594%, 	0.350000%, 	0.332594%
2020-04-11 13:03:25, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.655e-05, 	4052.0, 	2.637e-05, 	305.69509933, 	0.682594%, 	0.350000%, 	0.332594%
2020-04-11 13:03:40, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.651e-05, 	423.0, 	2.637e-05, 	305.69509933, 	0.530906%, 	0.350000%, 	0.180906%
2020-04-11 13:03:55, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.651e-05, 	408.0, 	2.637e-05, 	305.69509933, 	0.530906%, 	0.350000%, 	0.180906%
2020-04-11 13:04:10, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.653e-05, 	161.0, 	2.637e-05, 	305.69509933, 	0.606750%, 	0.350000%, 	0.256750%
2020-04-11 13:04:25, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.653e-05, 	161.0, 	2.637e-05, 	305.69509933, 	0.606750%, 	0.350000%, 	0.256750%
2020-04-11 13:04:40, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.653e-05, 	366.0, 	2.637e-05, 	305.69509933, 	0.606750%, 	0.350000%, 	0.256750%
2020-04-11 13:04:55, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.653e-05, 	366.0, 	2.637e-05, 	305.69509933, 	0.606750%, 	0.350000%, 	0.256750%
2020-04-11 13:05:10, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.653e-05, 	642.0, 	2.637e-05, 	305.69509933, 	0.606750%, 	0.350000%, 	0.256750%
2020-04-11 13:05:25, 	Binance     , 	Bittrex     , 	ALGO/BTC, 	2.652e-05, 	3893.0, 	2.666e-05, 	308.46727177, 	-0.525131%, 	0.350000%, 	-0.875131%
