2020-04-11 12:15:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751072.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:15:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751072.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:15:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751072.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:16:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751072.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:16:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751072.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:16:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	697906.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:16:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:17:14, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:17:29, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:17:44, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:17:56, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:17:59, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
2020-04-11 12:18:11, 	Binance     , 	Bittrex     , 	CND/BTC, 	5.3e-07, 	751090.0, 	5.2e-07, 	0.88582075, 	1.923077%, 	0.350000%, 	1.573077%
