2020-04-08 21:46:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	191623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:46:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	191623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:46:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	191623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:46:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	241623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:47:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:47:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:47:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:47:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:48:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:48:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:48:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:48:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	256623.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:49:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:49:15, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:49:30, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:49:45, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 21:50:00, 	Binance     , 	Bittrex     , 	DNT/BTC, 	5.9e-07, 	245111.0, 	5.8e-07, 	0.13043531, 	1.724138%, 	0.350000%, 	1.374138%
