2020-04-09 13:57:10, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:57:25, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:57:40, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:57:55, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:58:10, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:58:25, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:58:40, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:58:55, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:59:10, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.71e-06, 	123645.0, 	2.7e-06, 	2167.0, 	0.370370%, 	0.350000%, 	0.020370%
2020-04-09 13:59:25, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.72e-06, 	32213.0, 	2.7e-06, 	2167.0, 	0.740741%, 	0.350000%, 	0.390741%
2020-04-09 13:59:40, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.72e-06, 	32213.0, 	2.7e-06, 	2167.0, 	0.740741%, 	0.350000%, 	0.390741%
2020-04-09 13:59:55, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.72e-06, 	30452.0, 	2.7e-06, 	2167.0, 	0.740741%, 	0.350000%, 	0.390741%
2020-04-09 14:00:10, 	Binance     , 	Bittrex     , 	DUSK/BTC, 	2.72e-06, 	30452.0, 	2.75e-06, 	4730.67903415, 	-1.090909%, 	0.350000%, 	-1.440909%
