2020-04-08 17:00:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.0, 	8.60136, 	156.421, 	1.12921, 	0.370155%, 	0.350000%, 	0.020155%
2020-04-08 17:00:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.0, 	8.60136, 	156.421, 	1.12921, 	0.370155%, 	0.350000%, 	0.020155%
2020-04-08 17:01:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.0, 	8.60136, 	156.421, 	1.12921, 	0.370155%, 	0.350000%, 	0.020155%
2020-04-08 17:01:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	157.0, 	3.46755, 	156.421, 	1.12921, 	0.370155%, 	0.350000%, 	0.020155%
2020-04-08 17:01:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	0.06385, 	156.421, 	1.12921, 	0.133614%, 	0.350000%, 	-0.216386%
2020-04-09 19:47:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	156.006, 	1.13221, 	0.399985%, 	0.350000%, 	0.049985%
2020-04-09 19:47:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	156.0, 	2.948, 	0.403846%, 	0.350000%, 	0.053846%
2020-04-09 19:47:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	156.0, 	2.948, 	0.403846%, 	0.350000%, 	0.053846%
2020-04-09 19:48:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	156.0, 	2.948, 	0.403846%, 	0.350000%, 	0.053846%
2020-04-09 19:48:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.86, 	2.924, 	0.494033%, 	0.350000%, 	0.144033%
2020-04-09 19:48:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.77, 	5.702, 	0.552096%, 	0.350000%, 	0.202096%
2020-04-09 19:48:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.77, 	6.04, 	0.552096%, 	0.350000%, 	0.202096%
2020-04-09 19:49:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.772, 	1.13391, 	0.550805%, 	0.350000%, 	0.200805%
2020-04-09 19:49:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.77, 	6.32, 	0.552096%, 	0.350000%, 	0.202096%
2020-04-09 19:49:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.65, 	5.988, 	0.629618%, 	0.350000%, 	0.279618%
2020-04-09 19:49:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.655, 	1.13477, 	0.626385%, 	0.350000%, 	0.276385%
2020-04-09 19:50:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.65, 	5.748, 	0.629618%, 	0.350000%, 	0.279618%
2020-04-09 19:50:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.57, 	5.414, 	0.681365%, 	0.350000%, 	0.331365%
2020-04-09 19:50:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.493, 	1.13595, 	0.731223%, 	0.350000%, 	0.381223%
2020-04-09 19:50:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.493, 	1.13595, 	0.731223%, 	0.350000%, 	0.381223%
2020-04-09 19:51:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.493, 	1.13595, 	0.731223%, 	0.350000%, 	0.381223%
2020-04-09 19:51:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.493, 	1.13595, 	0.731223%, 	0.350000%, 	0.381223%
2020-04-09 19:51:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.493, 	1.13595, 	0.731223%, 	0.350000%, 	0.381223%
2020-04-09 19:51:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.49, 	2.932, 	0.733166%, 	0.350000%, 	0.383166%
2020-04-09 19:52:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.49, 	5.328, 	0.733166%, 	0.350000%, 	0.383166%
2020-04-09 19:52:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.406, 	1.13659, 	0.787614%, 	0.350000%, 	0.437614%
2020-04-09 19:52:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.4, 	5.363, 	0.791506%, 	0.350000%, 	0.441506%
2020-04-09 19:52:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.406, 	1.13659, 	0.787614%, 	0.350000%, 	0.437614%
2020-04-09 19:53:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.406, 	1.13659, 	0.787614%, 	0.350000%, 	0.437614%
2020-04-09 19:53:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.329, 	1.13715, 	0.837577%, 	0.350000%, 	0.487577%
2020-04-09 19:53:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.32, 	5.068, 	0.843420%, 	0.350000%, 	0.493420%
2020-04-09 19:53:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.271, 	1.13757, 	0.875244%, 	0.350000%, 	0.525244%
2020-04-09 19:54:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.27, 	4.662, 	0.875894%, 	0.350000%, 	0.525894%
2020-04-09 19:54:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.26, 	4.559, 	0.882391%, 	0.350000%, 	0.532391%
2020-04-09 19:54:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.221, 	1.13794, 	0.907738%, 	0.350000%, 	0.557738%
2020-04-09 19:54:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.221, 	1.13794, 	0.907738%, 	0.350000%, 	0.557738%
2020-04-09 19:55:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.16, 	1.13839, 	0.947409%, 	0.350000%, 	0.597409%
2020-04-09 19:55:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.63, 	2.93579, 	155.16, 	1.13839, 	0.947409%, 	0.350000%, 	0.597409%
2020-04-09 19:55:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.62, 	0.0189, 	155.16, 	1.13839, 	0.940964%, 	0.350000%, 	0.590964%
2020-04-09 19:55:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.52, 	0.20727, 	155.15, 	5.875, 	0.883016%, 	0.350000%, 	0.533016%
2020-04-09 19:56:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:34, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:56:49, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:57:04, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.16, 	1.13839, 	0.754060%, 	0.350000%, 	0.404060%
2020-04-09 19:57:19, 	Binance     , 	Bittrex     , 	ETH/EUR, 	156.33, 	0.068, 	155.15, 	5.294, 	0.760554%, 	0.350000%, 	0.410554%
