2020-04-09 13:52:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:53:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:53:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:53:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	9.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 13:53:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:54:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:54:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:54:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:54:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:55:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:55:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	3891.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:55:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:55:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:56:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:56:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:56:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:56:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:57:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:57:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	4252.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:57:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	4252.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:57:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:58:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:58:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:58:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:58:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:59:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:59:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:59:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 13:59:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:00:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:00:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:00:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:00:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:01:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	9.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:01:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:01:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:01:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:02:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:02:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:02:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:02:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	9.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:03:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	9.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:03:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:03:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:03:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:04:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:04:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:04:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	18.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:04:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	18.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:05:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:05:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:05:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:05:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:06:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	696.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:06:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:06:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:06:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	697.0, 	2.254e-05, 	28.25, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-09 14:07:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:07:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	4252.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:07:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	4252.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:07:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	4252.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:08:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.262e-05, 	675.0, 	2.254e-05, 	28.25, 	0.354925%, 	0.350000%, 	0.004925%
2020-04-09 14:08:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:08:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	697.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:08:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	2884.0, 	2.254e-05, 	28.25, 	0.399290%, 	0.350000%, 	0.049290%
2020-04-09 14:09:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.265e-05, 	3581.0, 	2.254e-05, 	28.25, 	0.488021%, 	0.350000%, 	0.138021%
2020-04-09 14:09:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.265e-05, 	697.0, 	2.254e-05, 	28.25, 	0.488021%, 	0.350000%, 	0.138021%
2020-04-09 14:09:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.266e-05, 	856.0, 	2.254e-05, 	28.25, 	0.532387%, 	0.350000%, 	0.182387%
2020-04-09 14:09:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.266e-05, 	856.0, 	2.254e-05, 	28.25, 	0.532387%, 	0.350000%, 	0.182387%
2020-04-09 14:10:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.265e-05, 	697.0, 	2.254e-05, 	28.25, 	0.488021%, 	0.350000%, 	0.138021%
2020-04-09 14:10:21, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.266e-05, 	856.0, 	2.254e-05, 	28.25, 	0.532387%, 	0.350000%, 	0.182387%
2020-04-09 14:10:36, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.266e-05, 	753.0, 	2.254e-05, 	28.25, 	0.532387%, 	0.350000%, 	0.182387%
2020-04-09 14:10:51, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.265e-05, 	598.0, 	2.254e-05, 	28.25, 	0.488021%, 	0.350000%, 	0.138021%
2020-04-09 14:11:06, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.263e-05, 	8372.0, 	2.273e-05, 	413.47193569, 	-0.439947%, 	0.350000%, 	-0.789947%
2020-04-10 01:15:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4730.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:16:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:16:24, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:16:39, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:16:54, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
2020-04-10 01:17:09, 	Binance     , 	Bittrex     , 	GRS/BTC, 	2.264e-05, 	4814.0, 	2.254e-05, 	3506.06888278, 	0.443656%, 	0.350000%, 	0.093656%
