2020-04-11 17:50:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	129702.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 17:50:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.348e-05, 	117156.0, 	3.303e-05, 	15.48838758, 	1.362398%, 	0.350000%, 	1.012398%
2020-04-11 17:50:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2158.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 17:50:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2158.0, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.350000%, 	0.921571%
2020-04-11 17:51:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	679.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:51:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.354e-05, 	11.0, 	3.303e-05, 	15.48838758, 	1.544051%, 	0.350000%, 	1.194051%
2020-04-11 17:51:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.365e-05, 	9.0, 	3.303e-05, 	15.48838758, 	1.877081%, 	0.350000%, 	1.527081%
2020-04-11 17:51:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.359e-05, 	6094.0, 	3.303e-05, 	15.48838758, 	1.695428%, 	0.350000%, 	1.345428%
2020-04-11 17:52:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.36e-05, 	529.0, 	3.303e-05, 	15.48838758, 	1.725704%, 	0.350000%, 	1.375704%
2020-04-11 17:52:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	285.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:52:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.359e-05, 	503.0, 	3.303e-05, 	15.48838758, 	1.695428%, 	0.350000%, 	1.345428%
2020-04-11 17:52:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	554.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:53:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.362e-05, 	27.0, 	3.303e-05, 	15.48838758, 	1.786255%, 	0.350000%, 	1.436255%
2020-04-11 17:53:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.362e-05, 	27.0, 	3.303e-05, 	15.48838758, 	1.786255%, 	0.350000%, 	1.436255%
2020-04-11 17:53:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	957.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:53:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	957.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:54:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	378.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:54:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	957.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:54:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	957.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:54:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.361e-05, 	957.0, 	3.303e-05, 	15.48838758, 	1.755979%, 	0.350000%, 	1.405979%
2020-04-11 17:55:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.358e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.665153%, 	0.350000%, 	1.315153%
2020-04-11 17:55:23, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.358e-05, 	34.0, 	3.303e-05, 	15.48838758, 	1.665153%, 	0.350000%, 	1.315153%
2020-04-11 17:55:38, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	29.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:55:53, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.354e-05, 	406.0, 	3.303e-05, 	15.48838758, 	1.544051%, 	0.350000%, 	1.194051%
2020-04-11 17:56:08, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.354e-05, 	406.0, 	3.303e-05, 	15.48838758, 	1.544051%, 	0.350000%, 	1.194051%
2020-04-11 17:56:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	6.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:56:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	6.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:56:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	6.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:57:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	363.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:57:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.349e-05, 	9.0, 	3.303e-05, 	15.48838758, 	1.392673%, 	0.350000%, 	1.042673%
2020-04-11 17:57:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	25677.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:57:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.355e-05, 	25677.0, 	3.303e-05, 	15.48838758, 	1.574326%, 	0.350000%, 	1.224326%
2020-04-11 17:58:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	795.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.350000%, 	1.072949%
2020-04-11 17:58:24, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.36e-05, 	241.0, 	3.303e-05, 	15.48838758, 	1.725704%, 	0.350000%, 	1.375704%
2020-04-11 17:58:39, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:58:54, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
2020-04-11 17:59:09, 	Binance     , 	Bittrex     , 	ICX/BTC, 	3.357e-05, 	267.0, 	3.303e-05, 	15.48838758, 	1.634877%, 	0.350000%, 	1.284877%
