2020-04-10 18:41:35, 	Binance     , 	Bittrex     , 	RCN/BTC, 	7.97e-06, 	2771.0, 	8.13e-06, 	365.0, 	-1.968020%, 	0.350000%, 	-2.318020%
2020-04-11 17:00:28, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	25.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:00:43, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1835.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:00:58, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1835.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:01:13, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1835.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:01:28, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1835.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:01:43, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1804.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:01:58, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1804.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:02:13, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:02:28, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:02:43, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:02:59, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:03:14, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:03:29, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:03:44, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:03:59, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:04:14, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.15e-06, 	200.0, 	0.368098%, 	0.350000%, 	0.018098%
2020-04-11 17:04:29, 	Binance     , 	Bittrex     , 	RCN/BTC, 	8.18e-06, 	1745.0, 	8.17e-06, 	3649.6350365, 	0.122399%, 	0.350000%, 	-0.227601%
