2020-04-08 22:20:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.857e-05, 	244.0, 	4.829e-05, 	953.77828201, 	0.579830%, 	0.350000%, 	0.229830%
2020-04-08 22:20:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	4018.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:21:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.853e-05, 	100.0, 	4.829e-05, 	953.77828201, 	0.496997%, 	0.350000%, 	0.146997%
2020-04-08 22:21:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.853e-05, 	22.0, 	4.829e-05, 	953.77828201, 	0.496997%, 	0.350000%, 	0.146997%
2020-04-08 22:21:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.853e-05, 	355.0, 	4.829e-05, 	953.77828201, 	0.496997%, 	0.350000%, 	0.146997%
2020-04-08 22:21:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.853e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.496997%, 	0.350000%, 	0.146997%
2020-04-08 22:22:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:22:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:22:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:22:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:23:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:23:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:23:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:23:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:24:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:24:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:24:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:24:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:25:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:25:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:25:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:25:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.851e-05, 	333.0, 	4.829e-05, 	953.77828201, 	0.455581%, 	0.350000%, 	0.105581%
2020-04-08 22:26:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:26:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:26:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:26:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:27:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:27:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	5.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:27:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:27:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:28:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:28:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:28:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:28:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	8.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:29:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:29:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:29:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:29:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:30:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:30:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.856e-05, 	9.0, 	4.829e-05, 	953.77828201, 	0.559122%, 	0.350000%, 	0.209122%
2020-04-08 22:30:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	953.77828201, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:30:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	953.77828201, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:31:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:31:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:31:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:31:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:32:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:32:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:32:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:32:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:33:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:33:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:33:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:33:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:34:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:34:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:34:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.857e-05, 	333.0, 	4.829e-05, 	12865.92682018, 	0.579830%, 	0.350000%, 	0.229830%
2020-04-08 22:34:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:35:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:35:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:35:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:35:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:36:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:36:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:36:37, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:36:52, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:37:07, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:37:22, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:37:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:37:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:38:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:38:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:38:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.865e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.745496%, 	0.350000%, 	0.395496%
2020-04-08 22:38:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.87e-05, 	4.0, 	4.829e-05, 	12865.92682018, 	0.849037%, 	0.350000%, 	0.499037%
2020-04-08 22:39:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.87e-05, 	4.0, 	4.829e-05, 	12814.3941509, 	0.849037%, 	0.350000%, 	0.499037%
2020-04-08 22:39:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.87e-05, 	4.0, 	4.829e-05, 	12814.3941509, 	0.849037%, 	0.350000%, 	0.499037%
2020-04-08 22:39:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.87e-05, 	4.0, 	4.829e-05, 	12814.3941509, 	0.849037%, 	0.350000%, 	0.499037%
2020-04-08 22:39:53, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.87e-05, 	4.0, 	4.829e-05, 	12814.3941509, 	0.849037%, 	0.350000%, 	0.499037%
2020-04-08 22:40:08, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.861e-05, 	333.0, 	4.829e-05, 	12814.3941509, 	0.662663%, 	0.350000%, 	0.312663%
2020-04-08 22:40:23, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	374.0, 	4.829e-05, 	12298.3941509, 	0.641955%, 	0.350000%, 	0.291955%
2020-04-08 22:40:38, 	Binance     , 	Bittrex     , 	RLC/BTC, 	4.86e-05, 	374.0, 	4.829e-05, 	12298.3941509, 	0.641955%, 	0.350000%, 	0.291955%
