2020-04-07 23:43:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.7, 	16.747, 	164.0, 	779.49827841, 	1.646341%, 	0.600000%, 	1.046341%
2020-04-07 23:43:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.71, 	16.747, 	164.0, 	630.74468934, 	1.652439%, 	0.600000%, 	1.052439%
2020-04-07 23:44:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.71, 	16.733, 	164.0, 	337.44023967, 	1.652439%, 	0.600000%, 	1.052439%
2020-04-07 23:44:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.87, 	16.723, 	164.0, 	176.68208508, 	1.750000%, 	0.600000%, 	1.150000%
2020-04-07 23:45:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.5, 	31.9967, 	164.0, 	46.44748105, 	1.524390%, 	0.600000%, 	0.924390%
2020-04-07 23:45:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.61, 	83.0, 	165.34, 	1.878, 	0.768114%, 	0.600000%, 	0.168114%
2020-04-07 23:46:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.82, 	1.891, 	165.39, 	55.69912105, 	0.864623%, 	0.600000%, 	0.264623%
2020-04-07 23:46:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.79, 	1.892, 	165.39, 	36.74135344, 	0.846484%, 	0.600000%, 	0.246484%
2020-04-07 23:47:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.82, 	0.49729426, 	164.0, 	1560.7813157, 	1.719512%, 	0.600000%, 	1.119512%
2020-04-07 23:47:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.93, 	15.24729426, 	164.0, 	840.09237137, 	1.786585%, 	0.600000%, 	1.186585%
2020-04-07 23:48:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.93, 	15.24729426, 	164.0, 	402.64458968, 	1.786585%, 	0.600000%, 	1.186585%
2020-04-07 23:48:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.74, 	15.24729426, 	164.0, 	337.75376727, 	1.670732%, 	0.600000%, 	1.070732%
2020-04-07 23:49:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.85, 	1.896, 	165.38, 	0.85939047, 	0.888862%, 	0.600000%, 	0.288862%
2020-04-07 23:49:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.78, 	4.81, 	165.38, 	1.878, 	0.846535%, 	0.600000%, 	0.246535%
2020-04-07 23:50:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.75, 	1.896, 	164.5, 	1387.9314795, 	1.367781%, 	0.600000%, 	0.767781%
2020-04-07 23:50:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.89, 	1.889, 	164.5, 	1294.32149188, 	1.452888%, 	0.600000%, 	0.852888%
2020-04-07 23:51:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.75, 	1.898, 	164.5, 	1120.52402239, 	1.367781%, 	0.600000%, 	0.767781%
2020-04-07 23:51:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.74, 	4.83, 	164.5, 	1118.31083197, 	1.361702%, 	0.600000%, 	0.761702%
2020-04-07 23:52:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.73, 	1.889, 	164.5, 	993.35222526, 	1.355623%, 	0.600000%, 	0.755623%
2020-04-07 23:52:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.72, 	1.891, 	164.5, 	951.30582045, 	1.349544%, 	0.600000%, 	0.749544%
2020-04-07 23:53:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.73, 	1.892, 	164.5, 	718.03566953, 	1.355623%, 	0.600000%, 	0.755623%
2020-04-07 23:53:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.75, 	4.84, 	164.5, 	599.35522286, 	1.367781%, 	0.600000%, 	0.767781%
2020-04-07 23:54:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.66, 	1.894, 	164.5, 	488.18425888, 	1.313070%, 	0.600000%, 	0.713070%
2020-04-07 23:54:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.48, 	1.894, 	164.5, 	470.82999106, 	1.203647%, 	0.600000%, 	0.603647%
2020-04-07 23:55:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.45, 	1.894, 	164.5, 	302.22220049, 	1.185410%, 	0.600000%, 	0.585410%
2020-04-07 23:55:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.39, 	1.895, 	165.35, 	1.878, 	0.628969%, 	0.600000%, 	0.028969%
2020-04-07 23:56:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	13.32, 	165.2, 	57.95, 	0.811138%, 	0.600000%, 	0.211138%
2020-04-07 23:56:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.55, 	1.892, 	165.18, 	1.88, 	0.829398%, 	0.600000%, 	0.229398%
2020-04-07 23:57:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.52, 	1.889, 	165.32, 	44.64, 	0.725865%, 	0.600000%, 	0.125865%
2020-04-07 23:57:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.57, 	1.885, 	165.29, 	44.64, 	0.774397%, 	0.600000%, 	0.174397%
2020-04-07 23:58:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.56, 	1.25075484, 	165.37, 	92.49629167, 	0.719598%, 	0.600000%, 	0.119598%
2020-04-07 23:58:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.54, 	1.25075484, 	165.37, 	76.85095467, 	0.707504%, 	0.600000%, 	0.107504%
2020-04-07 23:59:14, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.49, 	4.8, 	165.37, 	4.3000445, 	0.677269%, 	0.600000%, 	0.077269%
2020-04-07 23:59:44, 	Binance     , 	Coinbase Pro, 	ETH/USDC, 	166.3, 	1.0, 	165.36, 	1.878, 	0.568457%, 	0.600000%, 	-0.031543%
