2020-04-11 11:39:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:40:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:40:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:40:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:40:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:41:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:41:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:41:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:41:57, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:42:12, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:42:27, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
2020-04-11 11:42:42, 	Binance     , 	OKEX        , 	DCR/BTC, 	0.001735, 	49.023, 	0.00173, 	0.0664, 	0.289017%, 	0.250000%, 	0.039017%
