2020-04-09 18:00:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	76579.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:00:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	13446.1, 	0.0037, 	1172.4055, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:01:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	17446.1, 	0.0037, 	1172.4055, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:01:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:01:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	3200.0, 	0.0037, 	1172.4055, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:01:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	3200.0, 	0.0037, 	1172.4055, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:02:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	3200.0, 	0.0037, 	1172.4055, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:02:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:02:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:02:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:03:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:03:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:03:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:03:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:04:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:04:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:04:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	70428.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:04:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00373, 	67510.9, 	0.0037, 	1172.4055, 	0.810811%, 	0.250000%, 	0.560811%
2020-04-09 18:05:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	54447.4, 	0.0037, 	1168.3342, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:05:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	54447.4, 	0.0037, 	1168.3342, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:05:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	54447.4, 	0.0037, 	1168.3342, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:05:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	54447.4, 	0.0037, 	1168.3342, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:06:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	13446.1, 	0.0037, 	1168.3342, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:06:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	88800.0, 	0.0037, 	1168.3342, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:06:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	88800.0, 	0.0037, 	1168.3342, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:06:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	88800.0, 	0.0037, 	1168.3342, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:07:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	5491.0, 	0.0037, 	1164.3203, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:07:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	6151.0, 	0.0037, 	1132.4875, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:07:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00375, 	6151.0, 	0.0037, 	1132.4875, 	1.351351%, 	0.250000%, 	1.101351%
2020-04-09 18:07:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00377, 	27478.6, 	0.0037, 	1132.4875, 	1.891892%, 	0.250000%, 	1.641892%
2020-04-09 18:08:12, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00374, 	13446.1, 	0.0037, 	1132.4875, 	1.081081%, 	0.250000%, 	0.831081%
2020-04-09 18:08:27, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00376, 	6151.0, 	0.0037, 	1132.4875, 	1.621622%, 	0.250000%, 	1.371622%
2020-04-09 18:08:42, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00376, 	3984.0, 	0.0037, 	1132.4875, 	1.621622%, 	0.250000%, 	1.371622%
2020-04-09 18:08:57, 	Binance     , 	OKEX        , 	FTM/USDT, 	0.00376, 	3984.0, 	0.0038, 	1521.7504, 	-1.052632%, 	0.250000%, 	-1.302632%
