2020-04-09 16:37:25, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	2558041.3, 	0.00377, 	30064.583, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-09 16:37:40, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	2558041.3, 	0.00377, 	30064.583, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-09 16:37:55, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00378, 	2491288.0, 	0.00377, 	30064.583, 	0.265252%, 	0.250000%, 	0.015252%
2020-04-09 16:38:10, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	105820.1, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:38:25, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:38:40, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:38:55, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:39:10, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:39:25, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:39:40, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:39:55, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	153164.5, 	0.00378, 	30858.234, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:40:10, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	150075.2, 	0.00378, 	793.651, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:40:25, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	150075.2, 	0.00378, 	27768.934, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:40:40, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	150075.2, 	0.00378, 	27768.934, 	0.264550%, 	0.250000%, 	0.014550%
2020-04-09 16:40:55, 	Binance     , 	OKEX        , 	MITH/USDT, 	0.00379, 	165916.8, 	0.00378, 	27768.934, 	0.264550%, 	0.250000%, 	0.014550%
