2020-04-09 05:38:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:39:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:39:18, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:39:33, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:39:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:40:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19664, 	1.5551, 	0.437347%, 	0.250000%, 	0.187347%
2020-04-09 05:40:18, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19695, 	2.6982, 	0.279259%, 	0.250000%, 	0.029259%
2020-04-09 05:40:33, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.1968, 	1.6907, 	0.355691%, 	0.250000%, 	0.105691%
2020-04-09 05:40:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19682, 	1.5369, 	0.345493%, 	0.250000%, 	0.095493%
2020-04-09 05:41:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19678, 	1.5726, 	0.365891%, 	0.250000%, 	0.115891%
2020-04-09 05:41:18, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19676, 	1.6479, 	0.376093%, 	0.250000%, 	0.126093%
2020-04-09 05:41:33, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19667, 	3.211, 	0.422027%, 	0.250000%, 	0.172027%
2020-04-09 05:41:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19655, 	1.5819, 	0.483338%, 	0.250000%, 	0.233338%
2020-04-09 05:42:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19654, 	1.541, 	0.488450%, 	0.250000%, 	0.238450%
2020-04-09 05:42:18, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19654, 	1.541, 	0.488450%, 	0.250000%, 	0.238450%
2020-04-09 05:42:33, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19654, 	1.541, 	0.488450%, 	0.250000%, 	0.238450%
2020-04-09 05:42:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19652, 	1.9069, 	0.498677%, 	0.250000%, 	0.248677%
2020-04-09 05:43:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19649, 	1.6582, 	0.514021%, 	0.250000%, 	0.264021%
2020-04-09 05:43:18, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19649, 	1.6582, 	0.514021%, 	0.250000%, 	0.264021%
2020-04-09 05:43:33, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19649, 	1.6582, 	0.514021%, 	0.250000%, 	0.264021%
2020-04-09 05:43:48, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19649, 	1.6582, 	0.514021%, 	0.250000%, 	0.264021%
2020-04-09 05:44:03, 	Binance     , 	OKEX        , 	NULS/USDT, 	0.1975, 	8.74, 	0.19717, 	9.3766, 	0.167368%, 	0.250000%, 	-0.082632%
