2020-04-09 12:27:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:27:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:17, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	500.0, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:28:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:17, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:32, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:29:47, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.6e-05, 	496.51, 	3.59e-05, 	0.2931, 	0.278552%, 	0.250000%, 	0.028552%
2020-04-09 12:30:02, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.59e-05, 	4250.28, 	3.59e-05, 	0.2931, 	0.000000%, 	0.250000%, 	-0.250000%
2020-04-10 18:29:01, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:29:16, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:29:31, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:29:46, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:30:01, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:30:16, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	242.85, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:30:31, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	14.5, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:30:46, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	14.5, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:31:01, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	349.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:31:16, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	349.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:31:31, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	349.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:31:46, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	349.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:32:01, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	849.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:32:16, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	849.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:32:31, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	849.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:32:46, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	849.29, 	3.33e-05, 	0.2931, 	0.600601%, 	0.250000%, 	0.350601%
2020-04-10 18:33:01, 	Binance     , 	OKEX        , 	WTC/BTC, 	3.35e-05, 	849.29, 	3.35e-05, 	0.2931, 	0.000000%, 	0.250000%, 	-0.250000%
