2020-04-10 19:22:10, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:22:25, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:22:40, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:22:55, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:23:10, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:23:25, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.001736, 	0.00049831, 	0.403226%, 	0.190000%, 	0.213226%
2020-04-10 19:23:40, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001743, 	7.242, 	0.00175282, 	10.0, 	-0.560240%, 	0.190000%, 	-0.750240%
2020-04-11 17:39:49, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:40:04, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:40:19, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:40:34, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.583, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:40:49, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:41:04, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:41:19, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:41:34, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001747, 	14.551, 	0.0017413, 	2.49681754, 	0.327342%, 	0.190000%, 	0.137342%
2020-04-11 17:41:49, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001748, 	3.218, 	0.0017413, 	2.49681754, 	0.384770%, 	0.190000%, 	0.194770%
2020-04-11 17:42:04, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001748, 	0.609, 	0.0017413, 	2.49681754, 	0.384770%, 	0.190000%, 	0.194770%
2020-04-11 17:42:19, 	Binance     , 	Poloniex    , 	DCR/BTC, 	0.001746, 	171.542, 	0.00174981, 	3.45524131, 	-0.217738%, 	0.190000%, 	-0.407738%
