2020-04-07 21:15:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.427e-05, 	494.0, 	1.424e-05, 	7.5, 	0.210674%, 	0.190000%, 	0.020674%
2020-04-07 21:15:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.429e-05, 	494.0, 	1.424e-05, 	7.5, 	0.351124%, 	0.190000%, 	0.161124%
2020-04-07 21:16:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.43e-05, 	494.0, 	1.424e-05, 	7.5, 	0.421348%, 	0.190000%, 	0.231348%
2020-04-07 21:16:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.431e-05, 	494.0, 	1.424e-05, 	7.5, 	0.491573%, 	0.190000%, 	0.301573%
2020-04-07 21:17:03, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.431e-05, 	494.0, 	1.424e-05, 	7.5, 	0.491573%, 	0.190000%, 	0.301573%
2020-04-07 21:17:33, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.435e-05, 	494.0, 	1.424e-05, 	7.5, 	0.772472%, 	0.190000%, 	0.582472%
2020-04-07 21:41:48, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.417e-05, 	494.0, 	1.424e-05, 	7.5, 	-0.491573%, 	0.190000%, 	-0.681573%
2020-04-09 09:28:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:29:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:29:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:29:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:29:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:30:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	15.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:30:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:30:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:30:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:31:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:31:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:31:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:31:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:32:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:32:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:32:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:32:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:33:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:33:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:33:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:33:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:34:14, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:34:29, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:34:44, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
2020-04-09 09:34:59, 	Binance     , 	Poloniex    , 	STORJ/BTC, 	1.402e-05, 	25.0, 	1.399e-05, 	108.714391, 	0.214439%, 	0.190000%, 	0.024439%
