2020-04-09 13:05:55, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.745e-05, 	22.0, 	0.546448%, 	0.300000%, 	0.246448%
2020-04-09 13:06:10, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.746e-05, 	151.0, 	0.509832%, 	0.300000%, 	0.209832%
2020-04-09 13:06:25, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.74e-05, 	28893.0, 	0.729927%, 	0.300000%, 	0.429927%
2020-04-09 13:06:40, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.74e-05, 	28960.0, 	0.729927%, 	0.300000%, 	0.429927%
2020-04-09 13:06:55, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.74e-05, 	29011.0, 	0.729927%, 	0.300000%, 	0.429927%
2020-04-09 13:07:10, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.74e-05, 	29000.0, 	0.729927%, 	0.300000%, 	0.429927%
2020-04-09 13:07:25, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.74e-05, 	29040.0, 	0.729927%, 	0.300000%, 	0.429927%
2020-04-09 13:07:40, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.739e-05, 	7004.0, 	0.766703%, 	0.300000%, 	0.466703%
2020-04-09 13:07:55, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.739e-05, 	7106.0, 	0.766703%, 	0.300000%, 	0.466703%
2020-04-09 13:08:10, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.747e-05, 	1430.0, 	0.473244%, 	0.300000%, 	0.173244%
2020-04-09 13:08:25, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.747e-05, 	1712.0, 	0.473244%, 	0.300000%, 	0.173244%
2020-04-09 13:08:40, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.747e-05, 	5276.0, 	0.473244%, 	0.300000%, 	0.173244%
2020-04-09 13:08:55, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.743e-05, 	5247.0, 	0.619759%, 	0.300000%, 	0.319759%
2020-04-09 13:09:10, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.741e-05, 	7.0, 	0.693178%, 	0.300000%, 	0.393178%
2020-04-09 13:09:25, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.741e-05, 	69.0, 	0.693178%, 	0.300000%, 	0.393178%
2020-04-09 13:09:40, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.741e-05, 	121.0, 	0.693178%, 	0.300000%, 	0.393178%
2020-04-09 13:09:55, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.742e-05, 	5406.0, 	0.656455%, 	0.300000%, 	0.356455%
2020-04-09 13:10:10, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.76e-05, 	2993.019203, 	2.765e-05, 	266.0, 	-0.180832%, 	0.300000%, 	-0.480832%
2020-04-10 05:31:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.626e-05, 	94.0, 	0.533130%, 	0.300000%, 	0.233130%
2020-04-10 05:31:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.626e-05, 	147.0, 	0.533130%, 	0.300000%, 	0.233130%
2020-04-10 05:31:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.627e-05, 	5111.0, 	0.494861%, 	0.300000%, 	0.194861%
2020-04-10 05:32:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.625e-05, 	5572.0, 	0.571429%, 	0.300000%, 	0.271429%
2020-04-10 05:32:16, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.625e-05, 	1643.0, 	0.571429%, 	0.300000%, 	0.271429%
2020-04-10 05:32:31, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.625e-05, 	108.0, 	0.571429%, 	0.300000%, 	0.271429%
2020-04-10 05:32:46, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.625e-05, 	4174.0, 	0.571429%, 	0.300000%, 	0.271429%
2020-04-10 05:33:01, 	Bitfinex    , 	Binance     , 	ALGO/BTC, 	2.64e-05, 	67.357069, 	2.624e-05, 	54.0, 	0.609756%, 	0.300000%, 	0.309756%
