2020-04-10 15:07:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10234900.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:08:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10234900.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:08:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10241147.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:08:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10241147.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:08:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10242178.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:09:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10242178.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:09:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10221125.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:09:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10207587.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:09:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10207587.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:10:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10229769.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:10:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10229769.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:10:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10229769.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:10:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10229241.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:11:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10207587.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:11:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10231196.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:11:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10231196.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:11:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10224381.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:12:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10207587.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:12:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10220268.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:12:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10223924.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:12:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10222924.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:13:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	10222481.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:13:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	7335326.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:13:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.8e-07, 	28399343.0, 	0.000000%, 	0.300000%, 	-0.300000%
2020-04-10 15:58:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21287765.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:59:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21181984.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:59:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21207635.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:59:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21522850.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 15:59:48, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20764450.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:00:03, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	20823236.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:00:18, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21323387.0, 	2.127660%, 	0.300000%, 	1.827660%
2020-04-10 16:00:33, 	Bitfinex    , 	Binance     , 	IOST/BTC, 	4.8e-07, 	48.29296317, 	4.7e-07, 	21597736.0, 	2.127660%, 	0.300000%, 	1.827660%
