2020-04-10 08:06:41, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	14929.03198972, 	159.1, 	74161.0, 	1.118793%, 	0.700000%, 	0.418793%
2020-04-10 08:06:56, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	14813.46908277, 	159.05, 	53485.0, 	1.150582%, 	0.700000%, 	0.450582%
2020-04-10 08:07:11, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	14408.3696048, 	159.1, 	1068.0, 	1.118793%, 	0.700000%, 	0.418793%
2020-04-10 08:07:26, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13957.34752231, 	159.1, 	53041.0, 	1.118793%, 	0.700000%, 	0.418793%
2020-04-10 08:07:41, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13575.73342843, 	159.35, 	60655.0, 	0.960151%, 	0.700000%, 	0.260151%
2020-04-10 08:07:56, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13437.56429083, 	159.7, 	1519.0, 	0.738885%, 	0.700000%, 	0.038885%
2020-04-10 08:08:11, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13240.95986114, 	159.4, 	44.0, 	0.928482%, 	0.700000%, 	0.228482%
2020-04-10 08:08:26, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13235.52041037, 	159.35, 	14765.0, 	0.960151%, 	0.700000%, 	0.260151%
2020-04-10 08:08:41, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	13202.99412164, 	159.35, 	10726.0, 	0.960151%, 	0.700000%, 	0.260151%
2020-04-10 08:09:49, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	12310.16829402, 	159.75, 	22892.0, 	0.707355%, 	0.700000%, 	0.007355%
2020-04-10 08:10:04, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	11531.73308496, 	159.55, 	16091.0, 	0.833594%, 	0.700000%, 	0.133594%
2020-04-10 08:10:19, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	11062.76175789, 	159.8, 	59527.0, 	0.675845%, 	0.700000%, 	-0.024155%
2020-04-10 08:10:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	10684.78658138, 	159.65, 	30820.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:10:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	10158.52922762, 	159.6, 	44850.0, 	0.802005%, 	0.700000%, 	0.102005%
2020-04-10 08:11:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9869.85089545, 	159.55, 	41365.0, 	0.833594%, 	0.700000%, 	0.133594%
2020-04-10 08:11:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9437.55909405, 	159.45, 	40942.0, 	0.896833%, 	0.700000%, 	0.196833%
2020-04-10 08:11:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9303.73498612, 	159.45, 	54063.0, 	0.896833%, 	0.700000%, 	0.196833%
2020-04-10 08:11:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9282.39190765, 	159.45, 	10422.0, 	0.896833%, 	0.700000%, 	0.196833%
2020-04-10 08:12:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9268.53152716, 	159.55, 	29057.0, 	0.833594%, 	0.700000%, 	0.133594%
2020-04-10 08:12:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9130.64847127, 	159.6, 	10620.0, 	0.802005%, 	0.700000%, 	0.102005%
2020-04-10 08:12:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9128.78323645, 	159.65, 	20446.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:12:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	9101.76588024, 	159.8, 	25366.0, 	0.675845%, 	0.700000%, 	-0.024155%
2020-04-10 08:14:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5886.12295218, 	159.65, 	40439.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:14:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5839.99419691, 	159.65, 	38195.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:14:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5727.45559921, 	159.65, 	42039.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:15:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5427.50835948, 	159.65, 	55667.0, 	0.770435%, 	0.700000%, 	0.070435%
2020-04-10 08:15:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5159.14382773, 	159.7, 	4669.0, 	0.738885%, 	0.700000%, 	0.038885%
2020-04-10 08:15:37, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	5074.78052038, 	159.75, 	78645.0, 	0.707355%, 	0.700000%, 	0.007355%
2020-04-10 08:15:52, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	4934.89849774, 	159.7, 	1441.0, 	0.738885%, 	0.700000%, 	0.038885%
2020-04-10 08:16:07, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	4969.77634861, 	159.7, 	79210.0, 	0.738885%, 	0.700000%, 	0.038885%
2020-04-10 08:16:22, 	Bitfinex    , 	BitMEX      , 	ETH/USD, 	160.88, 	4929.43443135, 	159.7, 	64718.0, 	0.738885%, 	0.700000%, 	0.038885%
