2020-04-08 23:07:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18901.85343251, 	0.0001397, 	14.3358899, 	0.572656%, 	0.450000%, 	0.122656%
2020-04-08 23:07:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18838.35343252, 	0.00013969, 	63.0, 	0.579855%, 	0.450000%, 	0.129855%
2020-04-08 23:08:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18781.20343252, 	0.00013968, 	14.3358899, 	0.587056%, 	0.450000%, 	0.137056%
2020-04-08 23:08:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18781.20343252, 	0.00013967, 	63.0, 	0.594258%, 	0.450000%, 	0.144258%
2020-04-08 23:08:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18781.20343252, 	0.00013965, 	63.0, 	0.608665%, 	0.450000%, 	0.158665%
2020-04-08 23:08:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18612.75144374, 	0.00013964, 	14.3358899, 	0.615869%, 	0.450000%, 	0.165869%
2020-04-08 23:09:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18612.75144374, 	0.00013963, 	63.0, 	0.623075%, 	0.450000%, 	0.173075%
2020-04-08 23:09:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18612.75144374, 	0.00013962, 	17.95596322, 	0.630282%, 	0.450000%, 	0.180282%
2020-04-08 23:09:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013961, 	63.0, 	0.637490%, 	0.450000%, 	0.187490%
2020-04-08 23:09:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013959, 	63.0, 	0.651909%, 	0.450000%, 	0.201909%
2020-04-08 23:10:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013958, 	14.3358899, 	0.659120%, 	0.450000%, 	0.209120%
2020-04-08 23:10:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013958, 	14.3358899, 	0.659120%, 	0.450000%, 	0.209120%
2020-04-08 23:10:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013956, 	14.3358899, 	0.673545%, 	0.450000%, 	0.223545%
2020-04-08 23:10:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013956, 	14.3358899, 	0.673545%, 	0.450000%, 	0.223545%
2020-04-08 23:11:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013955, 	63.0, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:11:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.0001396, 	63.0, 	0.644699%, 	0.450000%, 	0.194699%
2020-04-08 23:11:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013959, 	14.3358899, 	0.651909%, 	0.450000%, 	0.201909%
2020-04-08 23:11:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18276.56686583, 	0.00013957, 	14.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:12:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013957, 	14.3358899, 	0.666332%, 	0.450000%, 	0.216332%
2020-04-08 23:12:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013955, 	14.3358899, 	0.680760%, 	0.450000%, 	0.230760%
2020-04-08 23:12:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013954, 	63.0, 	0.687975%, 	0.450000%, 	0.237975%
2020-04-08 23:12:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013952, 	63.0, 	0.702408%, 	0.450000%, 	0.252408%
2020-04-08 23:13:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013951, 	14.3358899, 	0.709627%, 	0.450000%, 	0.259627%
2020-04-08 23:13:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.0001395, 	63.0, 	0.716846%, 	0.450000%, 	0.266846%
2020-04-08 23:13:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013949, 	14.3358899, 	0.724066%, 	0.450000%, 	0.274066%
2020-04-08 23:13:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013948, 	63.0, 	0.731288%, 	0.450000%, 	0.281288%
2020-04-08 23:14:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013947, 	14.3358899, 	0.738510%, 	0.450000%, 	0.288510%
2020-04-08 23:14:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013945, 	14.3358899, 	0.752958%, 	0.450000%, 	0.302958%
2020-04-08 23:14:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013944, 	63.0, 	0.760184%, 	0.450000%, 	0.310184%
2020-04-08 23:14:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	18108.21315695, 	0.00013943, 	14.3358899, 	0.767410%, 	0.450000%, 	0.317410%
2020-04-08 23:15:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6519.27464382, 	0.00013942, 	63.0, 	0.774638%, 	0.450000%, 	0.324638%
2020-04-08 23:15:20, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013941, 	14.3358899, 	0.781866%, 	0.450000%, 	0.331866%
2020-04-08 23:15:35, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.0001394, 	63.0, 	0.789096%, 	0.450000%, 	0.339096%
2020-04-08 23:15:50, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013939, 	14.3358899, 	0.796327%, 	0.450000%, 	0.346327%
2020-04-08 23:16:05, 	Bitfinex    , 	Bittrex     , 	DAI/BTC, 	0.0001405, 	6508.08077045, 	0.00013938, 	63.0, 	0.803559%, 	0.450000%, 	0.353559%
