2020-04-10 08:15:27, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	5168.23424506, 	159.571, 	1.27955783, 	0.820324%, 	0.450000%, 	0.370324%
2020-04-10 08:15:42, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	5054.78052038, 	159.7, 	6.834, 	0.738885%, 	0.450000%, 	0.288885%
2020-04-10 08:15:57, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	4925.68737774, 	159.674, 	3.47877059, 	0.755289%, 	0.450000%, 	0.305289%
2020-04-10 08:16:12, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	4969.77634861, 	159.609, 	8.01049181, 	0.796321%, 	0.450000%, 	0.346321%
2020-04-10 08:16:27, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	4929.43443135, 	159.547, 	6.84, 	0.835490%, 	0.450000%, 	0.385490%
2020-04-10 08:16:42, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	4794.19786446, 	159.542, 	4.6492624, 	0.838651%, 	0.450000%, 	0.388651%
2020-04-10 08:16:57, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	3652.77415511, 	159.394, 	4.6492624, 	0.932281%, 	0.450000%, 	0.482281%
2020-04-10 08:17:12, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	3094.22486041, 	159.361, 	4.6492624, 	0.953182%, 	0.450000%, 	0.503182%
2020-04-10 08:17:27, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	2531.43190597, 	159.361, 	1.17049181, 	0.953182%, 	0.450000%, 	0.503182%
2020-04-10 08:17:42, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	2312.9287082, 	159.388, 	6.58655738, 	0.936081%, 	0.450000%, 	0.486081%
2020-04-10 08:17:57, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	1485.50923615, 	159.384, 	18.24865134, 	0.938614%, 	0.450000%, 	0.488614%
2020-04-10 08:18:12, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.88, 	300.87134209, 	159.288, 	23.69857876, 	0.999448%, 	0.450000%, 	0.549448%
2020-04-10 08:18:27, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.55, 	26564.70415406, 	159.29, 	6.40967215, 	0.791010%, 	0.450000%, 	0.341010%
2020-04-10 08:18:42, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.55, 	26407.94436766, 	159.286, 	3.12393442, 	0.793541%, 	0.450000%, 	0.343541%
2020-04-10 08:18:57, 	Bitfinex    , 	Bittrex     , 	ETH/USD, 	160.55, 	25868.50469456, 	159.193, 	0.08016394, 	0.852424%, 	0.450000%, 	0.402424%
