2020-04-07 22:07:24, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	4595.0, 	0.1821, 	1500.0, 	0.950027%, 	0.700000%, 	0.250027%
2020-04-07 22:07:54, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	1674.0, 	0.1823, 	1611.0, 	0.839276%, 	0.700000%, 	0.139276%
2020-04-07 22:08:24, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	6013.0, 	0.1822, 	5510.0, 	0.894621%, 	0.700000%, 	0.194621%
2020-04-07 22:08:54, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	3286.0, 	0.1822, 	4297.0, 	0.894621%, 	0.700000%, 	0.194621%
2020-04-07 22:09:24, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	4747.0, 	0.1821, 	1512.0, 	0.950027%, 	0.700000%, 	0.250027%
2020-04-07 22:09:54, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	4747.0, 	0.1821, 	1559.0, 	0.950027%, 	0.700000%, 	0.250027%
2020-04-07 22:10:24, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	6452.0, 	0.1821, 	1616.0, 	0.950027%, 	0.700000%, 	0.250027%
2020-04-07 22:10:54, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.18383, 	3707.0, 	0.1821, 	1616.0, 	0.950027%, 	0.700000%, 	0.250027%
2020-04-07 22:11:24, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.1823, 	2003.0, 	0.1822, 	8670.0, 	0.054885%, 	0.700000%, 	-0.645115%
2020-04-11 17:46:06, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.17876, 	553.31156974, 	0.1772, 	24.0, 	0.880361%, 	0.700000%, 	0.180361%
2020-04-11 17:46:21, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.17876, 	553.31156974, 	0.1772, 	24.0, 	0.880361%, 	0.700000%, 	0.180361%
2020-04-11 17:46:36, 	Bitfinex    , 	Coinbase Pro, 	ALGO/USD, 	0.17756, 	1945.35, 	0.1772, 	42.0, 	0.203160%, 	0.700000%, 	-0.496840%
