2020-04-10 08:08:39, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	129.04, 	13207.99412164, 	128.08, 	8.0, 	0.749532%, 	0.700000%, 	0.049532%
2020-04-10 08:09:49, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	129.04, 	12340.49999269, 	128.34, 	27.0, 	0.545426%, 	0.700000%, 	-0.154574%
2020-04-10 08:21:28, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.79, 	7619.12577133, 	127.37, 	4.8, 	1.114862%, 	0.700000%, 	0.414862%
2020-04-10 08:21:43, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	6389.31654191, 	127.6, 	0.34, 	0.877743%, 	0.700000%, 	0.177743%
2020-04-10 08:21:58, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	6268.53271197, 	127.75, 	9.6, 	0.759295%, 	0.700000%, 	0.059295%
2020-04-10 08:22:13, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	5804.50046141, 	127.69, 	1.515, 	0.806641%, 	0.700000%, 	0.106641%
2020-04-10 08:22:28, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	5409.0864252, 	127.61, 	4.8, 	0.869838%, 	0.700000%, 	0.169838%
2020-04-10 08:22:43, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	4877.50286974, 	127.67, 	1.516, 	0.822433%, 	0.700000%, 	0.122433%
2020-04-10 08:22:58, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	4583.74533663, 	127.73, 	4.13, 	0.775072%, 	0.700000%, 	0.075072%
2020-04-10 08:23:13, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	4319.98478981, 	127.73, 	4.13, 	0.775072%, 	0.700000%, 	0.075072%
2020-04-10 08:23:28, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	4128.87058011, 	127.73, 	4.13, 	0.775072%, 	0.700000%, 	0.075072%
2020-04-10 08:23:43, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	3747.65885204, 	127.71, 	4.13, 	0.790854%, 	0.700000%, 	0.090854%
2020-04-10 08:23:58, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	3090.21150029, 	127.68, 	8.93, 	0.814536%, 	0.700000%, 	0.114536%
2020-04-10 08:24:13, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	2972.85146181, 	127.67, 	4.13, 	0.822433%, 	0.700000%, 	0.122433%
2020-04-10 08:24:28, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	128.72, 	1734.60898317, 	127.73, 	4.13, 	0.775072%, 	0.700000%, 	0.075072%
2020-04-10 08:24:43, 	Bitfinex    , 	Coinbase Pro, 	ETH/GBP, 	127.94, 	36.17741104, 	127.6, 	4.13, 	0.266458%, 	0.700000%, 	-0.433542%
