2020-04-10 08:11:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.94, 	9547.15036382, 	145.91, 	12.625, 	0.705915%, 	0.460000%, 	0.245915%
2020-04-10 08:11:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9328.97928986, 	145.84, 	153.779, 	0.747394%, 	0.460000%, 	0.287394%
2020-04-10 08:11:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9285.17360765, 	145.84, 	162.638, 	0.747394%, 	0.460000%, 	0.287394%
2020-04-10 08:12:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9253.53152716, 	145.9, 	59.576, 	0.705963%, 	0.460000%, 	0.245963%
2020-04-10 08:12:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9130.64847127, 	145.88, 	15.3, 	0.719770%, 	0.460000%, 	0.259770%
2020-04-10 08:12:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9108.78323645, 	145.92, 	119.22, 	0.692160%, 	0.460000%, 	0.232160%
2020-04-10 08:12:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9092.07696324, 	146.0, 	18.795, 	0.636986%, 	0.460000%, 	0.176986%
2020-04-10 08:13:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	9022.77782845, 	146.09, 	5.184, 	0.574988%, 	0.460000%, 	0.114988%
2020-04-10 08:13:19, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	8877.55951088, 	146.05, 	94.417, 	0.602533%, 	0.460000%, 	0.142533%
2020-04-10 08:13:34, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	8839.00553088, 	146.08, 	15.3, 	0.581873%, 	0.460000%, 	0.121873%
2020-04-10 08:13:49, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	8829.89467382, 	146.05, 	208.086, 	0.602533%, 	0.460000%, 	0.142533%
2020-04-10 08:14:04, 	Bitfinex    , 	Kraken      , 	ETH/EUR, 	146.93, 	5966.33228549, 	145.96, 	58.686, 	0.664566%, 	0.460000%, 	0.204566%
