2020-04-09 14:24:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	14853.415, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:24:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	9854.717, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:25:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	990.758, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:25:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:25:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:25:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:26:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:26:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:26:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:26:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:27:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:27:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	197.758, 	1.121346%, 	0.460000%, 	0.661346%
2020-04-09 14:27:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	197.758, 	1.121346%, 	0.460000%, 	0.661346%
2020-04-09 14:27:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:28:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:28:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:28:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:28:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:29:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:29:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	15241.677, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:29:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:29:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:30:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:30:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	793.0, 	1.121346%, 	0.460000%, 	0.661346%
2020-04-09 14:30:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	990.758, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:30:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	990.758, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:31:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	990.758, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:31:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:31:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	1176.484, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:31:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	793.0, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:32:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	1176.484, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:32:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	1176.484, 	1.090982%, 	0.460000%, 	0.630982%
2020-04-09 14:32:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:32:47, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:33:02, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
2020-04-09 14:33:17, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	793.0, 	1.111222%, 	0.460000%, 	0.651222%
2020-04-09 14:33:32, 	Bitfinex    , 	Kraken      , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	18259.537, 	1.101101%, 	0.460000%, 	0.641101%
