2020-04-09 14:30:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.946, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:31:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2008.6652, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:31:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.942, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:31:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.464, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:31:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.5646, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:32:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2008.3634, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:32:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2008.3634, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:32:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2008.0617, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:32:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:33:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:33:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:33:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2008.0617, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:33:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:34:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:34:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	2008.1623, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:34:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:34:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.942, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:35:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:35:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2008.0617, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:35:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2007.8606, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:35:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2007.8606, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:36:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9993, 	2007.6595, 	1.070750%, 	0.350000%, 	0.720750%
2020-04-09 14:36:26, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2007.7601, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:36:41, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9992, 	2007.7601, 	1.080865%, 	0.350000%, 	0.730865%
2020-04-09 14:36:56, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	2007.9612, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:37:11, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	4529.9072, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:37:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9991, 	1999.946, 	1.090982%, 	0.350000%, 	0.740982%
2020-04-09 14:37:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.999, 	1999.946, 	1.101101%, 	0.350000%, 	0.751101%
2020-04-09 14:37:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.946, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:38:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	1999.946, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:38:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:38:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9986, 	2008.464, 	1.141598%, 	0.350000%, 	0.791598%
2020-04-09 14:38:57, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:39:12, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9988, 	2008.2628, 	1.121346%, 	0.350000%, 	0.771346%
2020-04-09 14:39:27, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
2020-04-09 14:39:42, 	Bitfinex    , 	OKEX        , 	USDC/USDT, 	1.01, 	0.0604218, 	0.9989, 	2008.3634, 	1.111222%, 	0.350000%, 	0.761222%
