2020-04-08 08:40:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:41:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:41:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:42:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:42:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:43:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:43:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:44:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:44:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:45:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:45:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:46:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:46:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:47:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:47:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:48:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:48:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:49:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:49:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:50:24, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
2020-04-08 08:50:54, 	Bittrex     , 	Binance     , 	CND/BTC, 	5.9e-07, 	847.47457627, 	5.8e-07, 	15853.53827185, 	1.724138%, 	0.350000%, 	1.374138%
