2020-04-07 22:43:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	34547.17249329, 	1.857e-05, 	850.41960098, 	18.470652%, 	0.350000%, 	18.120652%
2020-04-07 22:43:41, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	34547.17249329, 	1.857e-05, 	850.41960098, 	18.470652%, 	0.350000%, 	18.120652%
2020-04-07 22:44:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	33198.30674791, 	1.844e-05, 	850.41960098, 	19.305857%, 	0.350000%, 	18.955857%
2020-04-07 22:44:41, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	31881.30674791, 	1.841e-05, 	850.41960098, 	19.500272%, 	0.350000%, 	19.150272%
2020-04-07 22:45:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	31881.30674791, 	1.844e-05, 	850.41960098, 	19.305857%, 	0.350000%, 	18.955857%
2020-04-07 22:45:41, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	29081.30674791, 	1.851e-05, 	850.41960098, 	18.854673%, 	0.350000%, 	18.504673%
2020-04-07 22:46:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	29081.30674791, 	1.839e-05, 	850.41960098, 	19.630234%, 	0.350000%, 	19.280234%
2020-04-07 22:46:41, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	29081.30674791, 	1.842e-05, 	850.41960098, 	19.435396%, 	0.350000%, 	19.085396%
2020-04-07 22:47:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	3653.99041474, 	1.842e-05, 	850.41960098, 	19.435396%, 	0.350000%, 	19.085396%
2020-04-07 22:47:41, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.2e-05, 	3275.45059774, 	1.841e-05, 	850.41960098, 	19.500272%, 	0.350000%, 	19.150272%
2020-04-07 22:48:11, 	Bittrex     , 	Binance     , 	ENG/BTC, 	2.1e-05, 	1612.089594, 	1.841e-05, 	1610.45940226, 	14.068441%, 	0.350000%, 	13.718441%
