2020-04-07 20:39:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 20:58:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 20:59:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 20:59:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:00:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:00:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:01:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:01:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:02:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:02:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:03:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:03:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:04:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:04:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:05:09, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:05:39, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:07:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:08:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:08:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:09:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:09:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:10:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:10:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:11:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:11:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:12:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:12:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:13:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:13:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:14:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:14:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:15:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:15:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:16:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:16:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:17:07, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:17:37, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:41:48, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:42:18, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:42:48, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:43:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:43:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:44:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:44:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:45:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:45:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:46:19, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
2020-04-07 21:46:49, 	Bittrex     , 	Binance     , 	IOTX/BTC, 	3.4e-07, 	1900.0, 	3.3e-07, 	5952.04795204, 	3.030303%, 	0.350000%, 	2.680303%
