2020-04-09 19:04:49, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	3059.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:05:04, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31836.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:05:19, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31836.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:05:34, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31836.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:05:49, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31836.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:06:04, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31443.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:06:19, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.36e-06, 	31443.0, 	0.423729%, 	0.350000%, 	0.073729%
2020-04-09 19:06:34, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.37e-06, 	0.53164556, 	2.37e-06, 	274009.0, 	0.000000%, 	0.350000%, 	-0.350000%
2020-04-10 15:17:49, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	205994.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:18:04, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	205994.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:18:19, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:18:34, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:18:49, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:19:04, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:19:19, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:19:34, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	260197.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:19:49, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.3e-06, 	0.43870517, 	2.29e-06, 	262579.0, 	0.436681%, 	0.350000%, 	0.086681%
2020-04-10 15:20:04, 	Bittrex     , 	Binance     , 	SNT/BTC, 	2.29e-06, 	33119.46630088, 	2.29e-06, 	262579.0, 	0.000000%, 	0.350000%, 	-0.350000%
