2020-04-10 03:33:52, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	7509.93075132, 	0.192586, 	3858.25246, 	1.829832%, 	0.750000%, 	1.079832%
2020-04-10 03:34:07, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	6271.04775132, 	0.192586, 	3357.03554, 	1.829832%, 	0.750000%, 	1.079832%
2020-04-10 03:34:22, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	4225.04775132, 	0.192585, 	1000.0, 	1.830361%, 	0.750000%, 	1.080361%
2020-04-10 03:34:37, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	4195.04775132, 	0.192582, 	1000.0, 	1.831947%, 	0.750000%, 	1.081947%
2020-04-10 03:34:52, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	3480.15377793, 	0.192576, 	4013.13654, 	1.835120%, 	0.750000%, 	1.085120%
2020-04-10 03:35:07, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	3480.15377793, 	0.192542, 	1000.0, 	1.853102%, 	0.750000%, 	1.103102%
2020-04-10 03:35:22, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	3480.15377793, 	0.192438, 	1000.0, 	1.908147%, 	0.750000%, 	1.158147%
2020-04-10 03:35:37, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	1942.15377793, 	0.19271, 	1944.87534, 	1.764309%, 	0.750000%, 	1.014309%
2020-04-10 03:35:52, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	1485.15377793, 	0.192678, 	1333.18834, 	1.781210%, 	0.750000%, 	1.031210%
2020-04-10 03:36:07, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.19611, 	312.15377793, 	0.192666, 	1945.24334, 	1.787549%, 	0.750000%, 	1.037549%
2020-04-10 03:36:22, 	Bittrex     , 	Coinbase Pro, 	ZRX/USD, 	0.18884, 	558.80891764, 	0.192666, 	333.18834, 	-1.985820%, 	0.750000%, 	-2.735820%
