2020-04-08 20:27:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:27:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:27:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:28:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:28:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:28:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:28:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:29:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:29:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:29:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:29:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:30:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:30:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:30:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:30:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:31:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:31:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:31:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:31:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:32:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:32:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:32:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:32:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:33:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:33:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:33:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:33:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:34:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:34:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:34:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:34:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:35:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:35:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:35:41, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:35:56, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:36:11, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
2020-04-08 20:36:26, 	Bittrex     , 	Kraken      , 	DAI/USD, 	1.03, 	1.12858407, 	1.02171, 	148.73, 	0.811385%, 	0.510000%, 	0.301385%
