2020-04-08 19:08:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.692e-05, 	587.21927787, 	2.66e-05, 	2000.101, 	1.203008%, 	0.400000%, 	0.803008%
2020-04-08 19:08:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.722e-05, 	2502.13492647, 	2.66e-05, 	2000.101, 	2.330827%, 	0.400000%, 	1.930827%
2020-04-08 19:09:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:09:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:09:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:09:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:10:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:10:20, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	584.20373205, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
2020-04-08 19:10:35, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.702e-05, 	600.25262403, 	2.66e-05, 	2000.101, 	1.578947%, 	0.400000%, 	1.178947%
2020-04-08 19:10:50, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.702e-05, 	769.02619726, 	2.66e-05, 	2000.101, 	1.578947%, 	0.400000%, 	1.178947%
2020-04-08 19:11:05, 	Bittrex     , 	OKEX        , 	ALGO/BTC, 	2.699e-05, 	770.72134816, 	2.66e-05, 	2000.101, 	1.466165%, 	0.400000%, 	1.066165%
