2020-04-07 23:54:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.616e-05, 	6164.15826617, 	2.6e-05, 	19.1278, 	0.615385%, 	0.400000%, 	0.215385%
2020-04-07 23:54:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.615e-05, 	692.219, 	2.6e-05, 	124.9972, 	0.576923%, 	0.400000%, 	0.176923%
2020-04-07 23:55:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.624e-05, 	6192.02411631, 	2.6e-05, 	167.97687145, 	0.923077%, 	0.400000%, 	0.523077%
2020-04-07 23:55:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.616e-05, 	6029.09011418, 	2.6e-05, 	90.3868, 	0.615385%, 	0.400000%, 	0.215385%
2020-04-07 23:56:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.62e-05, 	6200.19917644, 	2.6e-05, 	124.9972, 	0.769231%, 	0.400000%, 	0.369231%
2020-04-07 23:56:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.619e-05, 	692.219, 	2.6e-05, 	167.97687145, 	0.730769%, 	0.400000%, 	0.330769%
2020-04-07 23:57:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.619e-05, 	692.219, 	2.6e-05, 	167.97687145, 	0.730769%, 	0.400000%, 	0.330769%
2020-04-07 23:57:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.62e-05, 	6200.19917644, 	2.6e-05, 	167.97687145, 	0.769231%, 	0.400000%, 	0.369231%
2020-04-07 23:58:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.622e-05, 	692.219, 	2.6e-05, 	124.9972, 	0.846154%, 	0.400000%, 	0.446154%
2020-04-07 23:58:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.623e-05, 	6196.69293751, 	2.6e-05, 	167.97687145, 	0.884615%, 	0.400000%, 	0.484615%
2020-04-07 23:59:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.623e-05, 	6196.69293751, 	2.6e-05, 	167.97687145, 	0.884615%, 	0.400000%, 	0.484615%
2020-04-07 23:59:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.622e-05, 	692.219, 	2.6e-05, 	167.97687145, 	0.846154%, 	0.400000%, 	0.446154%
2020-04-08 00:00:12, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.624e-05, 	921.7096, 	2.6e-05, 	167.97687145, 	0.923077%, 	0.400000%, 	0.523077%
2020-04-08 00:00:42, 	Bittrex     , 	OKEX        , 	APM/BTC, 	2.624e-05, 	921.7096, 	2.6e-05, 	167.97687145, 	0.923077%, 	0.400000%, 	0.523077%
