2020-04-11 15:48:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:49:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:49:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:49:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:49:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:50:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:50:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:50:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:50:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:51:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:51:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:51:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:51:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:52:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:52:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:52:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:52:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:53:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:53:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:53:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:53:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:54:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:54:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:54:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:54:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:55:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:55:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:55:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:55:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:56:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:56:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:56:30, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.086e-05, 	3039.94236277, 	7.056e-05, 	36.6072, 	0.425170%, 	0.400000%, 	0.025170%
2020-04-11 15:56:45, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.087e-05, 	3007.45348803, 	7.056e-05, 	36.6072, 	0.439342%, 	0.400000%, 	0.039342%
2020-04-11 15:57:00, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.089e-05, 	3006.06951458, 	7.056e-05, 	36.6072, 	0.467687%, 	0.400000%, 	0.067687%
2020-04-11 15:57:15, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.091e-05, 	3005.51619305, 	7.056e-05, 	36.6072, 	0.496032%, 	0.400000%, 	0.096032%
2020-04-11 15:57:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.093e-05, 	3004.9630245, 	7.056e-05, 	36.6072, 	0.524376%, 	0.400000%, 	0.124376%
2020-04-11 15:57:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.095e-05, 	3004.41000885, 	7.056e-05, 	36.6072, 	0.552721%, 	0.400000%, 	0.152721%
2020-04-11 15:58:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.103e-05, 	3002.19947401, 	7.056e-05, 	36.6072, 	0.666100%, 	0.400000%, 	0.266100%
2020-04-11 15:58:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.105e-05, 	3001.37115309, 	7.056e-05, 	36.6072, 	0.694444%, 	0.400000%, 	0.294444%
2020-04-11 15:58:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.106e-05, 	1917.92482667, 	7.056e-05, 	36.6072, 	0.708617%, 	0.400000%, 	0.308617%
2020-04-11 15:58:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.107e-05, 	3000.81912977, 	7.056e-05, 	36.6072, 	0.722789%, 	0.400000%, 	0.322789%
2020-04-11 15:59:01, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.09e-05, 	3005.51619305, 	7.056e-05, 	36.6072, 	0.481859%, 	0.400000%, 	0.081859%
2020-04-11 15:59:16, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.092e-05, 	3004.9630245, 	7.056e-05, 	36.6072, 	0.510204%, 	0.400000%, 	0.110204%
2020-04-11 15:59:31, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.094e-05, 	3004.41000885, 	7.056e-05, 	36.6072, 	0.538549%, 	0.400000%, 	0.138549%
2020-04-11 15:59:46, 	Bittrex     , 	OKEX        , 	CTC/BTC, 	7.096e-05, 	3003.85714604, 	7.056e-05, 	36.6072, 	0.566893%, 	0.400000%, 	0.166893%
