2020-04-10 00:36:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5120.51336213, 	3.914e-05, 	419.32, 	1.916198%, 	0.400000%, 	1.516198%
2020-04-10 00:36:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5120.51336213, 	3.917e-05, 	10.523, 	1.838141%, 	0.400000%, 	1.438141%
2020-04-10 00:37:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5120.51336213, 	3.917e-05, 	821.17, 	1.838141%, 	0.400000%, 	1.438141%
2020-04-10 00:37:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5120.51336213, 	3.917e-05, 	413.759, 	1.838141%, 	0.400000%, 	1.438141%
2020-04-10 00:37:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5120.51336213, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:37:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:38:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:38:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:38:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:38:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:39:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:39:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:39:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5044.46238744, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:39:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	5010.34012661, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:40:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	6214.21881963, 	3.918e-05, 	4.062, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:40:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	6214.21881963, 	3.918e-05, 	2.708, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:40:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.989e-05, 	4508.52817033, 	3.918e-05, 	2.708, 	1.812149%, 	0.400000%, 	1.412149%
2020-04-10 00:40:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.991e-05, 	3201.29409232, 	3.918e-05, 	2.708, 	1.863196%, 	0.400000%, 	1.463196%
2020-04-10 00:41:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.993e-05, 	3172.62468544, 	3.918e-05, 	2.708, 	1.914242%, 	0.400000%, 	1.514242%
2020-04-10 00:41:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.994e-05, 	3136.5886888, 	3.918e-05, 	2.708, 	1.939765%, 	0.400000%, 	1.539765%
2020-04-10 00:41:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.995e-05, 	3100.56161748, 	3.918e-05, 	2.708, 	1.965288%, 	0.400000%, 	1.565288%
2020-04-10 00:41:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.992e-05, 	3200.89749989, 	3.918e-05, 	2.708, 	1.888719%, 	0.400000%, 	1.488719%
2020-04-10 00:42:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.993e-05, 	3200.89749989, 	3.918e-05, 	2.708, 	1.914242%, 	0.400000%, 	1.514242%
2020-04-10 00:42:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.992e-05, 	3200.50100571, 	3.918e-05, 	2.708, 	1.888719%, 	0.400000%, 	1.488719%
2020-04-10 00:42:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.992e-05, 	3200.50100571, 	3.918e-05, 	2.708, 	1.888719%, 	0.400000%, 	1.488719%
2020-04-10 00:42:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.993e-05, 	3172.62468544, 	3.918e-05, 	2.708, 	1.914242%, 	0.400000%, 	1.514242%
2020-04-10 00:43:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.994e-05, 	3171.06186545, 	3.918e-05, 	2.708, 	1.939765%, 	0.400000%, 	1.539765%
2020-04-10 00:43:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.995e-05, 	3135.04371614, 	3.918e-05, 	2.708, 	1.965288%, 	0.400000%, 	1.565288%
2020-04-10 00:43:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.996e-05, 	3064.54346817, 	3.918e-05, 	2.708, 	1.990812%, 	0.400000%, 	1.590812%
2020-04-10 00:43:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.997e-05, 	3028.53423756, 	3.918e-05, 	2.708, 	2.016335%, 	0.400000%, 	1.616335%
2020-04-10 00:44:05, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.993e-05, 	3172.62468544, 	3.918e-05, 	2.708, 	1.914242%, 	0.400000%, 	1.514242%
2020-04-10 00:44:20, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.994e-05, 	3136.5886888, 	3.918e-05, 	2.708, 	1.939765%, 	0.400000%, 	1.539765%
2020-04-10 00:44:35, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.995e-05, 	3100.56161748, 	3.918e-05, 	2.708, 	1.965288%, 	0.400000%, 	1.565288%
2020-04-10 00:44:50, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.899e-05, 	7919.91026471, 	3.918e-05, 	2.708, 	-0.484941%, 	0.400000%, 	-0.884941%
2020-04-10 03:01:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.945e-05, 	362.28530066, 	3.918e-05, 	2127.256, 	0.689127%, 	0.400000%, 	0.289127%
2020-04-10 03:01:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.948e-05, 	362.00993813, 	3.918e-05, 	2127.256, 	0.765697%, 	0.400000%, 	0.365697%
2020-04-10 03:01:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.949e-05, 	361.91824361, 	3.918e-05, 	2127.256, 	0.791220%, 	0.400000%, 	0.391220%
2020-04-10 03:01:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.949e-05, 	361.91824361, 	3.918e-05, 	1118.256, 	0.791220%, 	0.400000%, 	0.391220%
2020-04-10 03:02:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.95e-05, 	361.82659554, 	3.918e-05, 	1118.256, 	0.816743%, 	0.400000%, 	0.416743%
2020-04-10 03:02:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.951e-05, 	361.73499387, 	3.916e-05, 	638.244, 	0.893769%, 	0.400000%, 	0.493769%
2020-04-10 03:02:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.955e-05, 	748.40962953, 	3.917e-05, 	10.523, 	0.970130%, 	0.400000%, 	0.570130%
2020-04-10 03:02:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.952e-05, 	9444.0371348, 	3.917e-05, 	10.523, 	0.893541%, 	0.400000%, 	0.493541%
2020-04-10 03:03:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.955e-05, 	798.68291127, 	3.917e-05, 	10.523, 	0.970130%, 	0.400000%, 	0.570130%
2020-04-10 03:03:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.958e-05, 	8686.55070825, 	3.917e-05, 	10.523, 	1.046719%, 	0.400000%, 	0.646719%
2020-04-10 03:03:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.961e-05, 	50.29032898, 	3.917e-05, 	10.523, 	1.123309%, 	0.400000%, 	0.723309%
2020-04-10 03:03:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.961e-05, 	748.12967581, 	3.917e-05, 	10.523, 	1.123309%, 	0.400000%, 	0.723309%
2020-04-10 03:04:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.963e-05, 	50.2649498, 	3.917e-05, 	10.523, 	1.174368%, 	0.400000%, 	0.774368%
2020-04-10 03:04:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.958e-05, 	748.12967581, 	3.917e-05, 	10.523, 	1.046719%, 	0.400000%, 	0.646719%
2020-04-10 03:04:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.962e-05, 	747.75672981, 	3.917e-05, 	10.523, 	1.148838%, 	0.400000%, 	0.748838%
2020-04-10 03:04:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.963e-05, 	747.94315632, 	3.917e-05, 	10.523, 	1.174368%, 	0.400000%, 	0.774368%
2020-04-10 03:05:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.965e-05, 	50.23959732, 	3.917e-05, 	10.523, 	1.225428%, 	0.400000%, 	0.825428%
2020-04-10 03:05:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.96e-05, 	8699.99350718, 	3.917e-05, 	10.523, 	1.097779%, 	0.400000%, 	0.697779%
2020-04-10 03:05:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.961e-05, 	3245.21759561, 	3.917e-05, 	10.523, 	1.123309%, 	0.400000%, 	0.723309%
2020-04-10 03:05:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.964e-05, 	50.25226974, 	3.918e-05, 	811.977, 	1.174068%, 	0.400000%, 	0.774068%
2020-04-10 03:06:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.964e-05, 	50.25226974, 	3.918e-05, 	811.977, 	1.174068%, 	0.400000%, 	0.774068%
2020-04-10 03:06:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.964e-05, 	50.25226974, 	3.918e-05, 	811.977, 	1.174068%, 	0.400000%, 	0.774068%
2020-04-10 03:06:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.964e-05, 	50.25226974, 	3.918e-05, 	811.977, 	1.174068%, 	0.400000%, 	0.774068%
2020-04-10 03:06:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.964e-05, 	50.25226974, 	3.918e-05, 	811.977, 	1.174068%, 	0.400000%, 	0.774068%
2020-04-10 03:07:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.966e-05, 	2167.229011, 	3.918e-05, 	811.977, 	1.225115%, 	0.400000%, 	0.825115%
2020-04-10 03:07:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.969e-05, 	50.18896484, 	3.918e-05, 	811.977, 	1.301685%, 	0.400000%, 	0.901685%
2020-04-10 03:07:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.97e-05, 	50.17632294, 	3.918e-05, 	811.977, 	1.327208%, 	0.400000%, 	0.927208%
2020-04-10 03:07:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.918e-05, 	811.977, 	1.250638%, 	0.400000%, 	0.850638%
2020-04-10 03:08:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.97e-05, 	50.17632294, 	3.918e-05, 	811.977, 	1.327208%, 	0.400000%, 	0.927208%
2020-04-10 03:08:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	893.313, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:08:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.97e-05, 	50.17632294, 	3.917e-05, 	1389.127, 	1.353076%, 	0.400000%, 	0.953076%
2020-04-10 03:08:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:09:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:09:18, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:09:33, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:09:48, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
2020-04-10 03:10:03, 	Bittrex     , 	OKEX        , 	MOF/BTC, 	3.967e-05, 	1470.1285606, 	3.917e-05, 	1389.127, 	1.276487%, 	0.400000%, 	0.876487%
