2020-04-10 06:35:59, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.303e-05, 	110.97772337, 	2.286e-05, 	500.0, 	0.743657%, 	0.400000%, 	0.343657%
2020-04-10 06:36:14, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.301e-05, 	115.087378, 	2.286e-05, 	500.0, 	0.656168%, 	0.400000%, 	0.256168%
2020-04-10 06:36:29, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.301e-05, 	140.55347673, 	2.297e-05, 	500.0, 	0.174140%, 	0.400000%, 	-0.225860%
2020-04-10 13:01:17, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.473e-05, 	3999.92, 	2.461e-05, 	5000.0, 	0.487607%, 	0.400000%, 	0.087607%
2020-04-10 13:01:32, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.477e-05, 	3999.92, 	2.461e-05, 	5000.0, 	0.650142%, 	0.400000%, 	0.250142%
2020-04-10 13:01:47, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.479e-05, 	3999.92, 	2.463e-05, 	500.0, 	0.649614%, 	0.400000%, 	0.249614%
2020-04-10 13:02:02, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.477e-05, 	3999.92, 	2.463e-05, 	500.0, 	0.568413%, 	0.400000%, 	0.168413%
2020-04-10 13:02:17, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.477e-05, 	3999.92, 	2.463e-05, 	500.0, 	0.568413%, 	0.400000%, 	0.168413%
2020-04-10 13:02:32, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.471e-05, 	3999.92, 	2.463e-05, 	500.0, 	0.324807%, 	0.400000%, 	-0.075193%
2020-04-10 14:07:30, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.615e-05, 	3999.92, 	2.604e-05, 	500.0, 	0.422427%, 	0.400000%, 	0.022427%
2020-04-10 14:07:45, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.617e-05, 	3999.92, 	2.604e-05, 	500.0, 	0.499232%, 	0.400000%, 	0.099232%
2020-04-10 14:08:00, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.565e-05, 	572.19149341, 	2.604e-05, 	500.0, 	-1.497696%, 	0.400000%, 	-1.897696%
2020-04-10 14:26:27, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.561e-05, 	3999.92, 	2.545e-05, 	117.0071, 	0.628684%, 	0.400000%, 	0.228684%
2020-04-10 14:26:42, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.565e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.667190%, 	0.400000%, 	0.267190%
2020-04-10 14:26:57, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.565e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.667190%, 	0.400000%, 	0.267190%
2020-04-10 14:27:12, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.565e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.667190%, 	0.400000%, 	0.267190%
2020-04-10 14:27:27, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.574e-05, 	3999.92, 	2.556e-05, 	117.0071, 	0.704225%, 	0.400000%, 	0.304225%
2020-04-10 14:27:42, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.568e-05, 	3999.92, 	2.549e-05, 	117.0071, 	0.745390%, 	0.400000%, 	0.345390%
2020-04-10 14:27:57, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.566e-05, 	3999.92, 	2.549e-05, 	117.0071, 	0.666928%, 	0.400000%, 	0.266928%
2020-04-10 14:28:12, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.564e-05, 	3999.92, 	2.546e-05, 	117.0071, 	0.706991%, 	0.400000%, 	0.306991%
2020-04-10 14:28:27, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.566e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.706436%, 	0.400000%, 	0.306436%
2020-04-10 14:28:42, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.566e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.706436%, 	0.400000%, 	0.306436%
2020-04-10 14:28:57, 	Bittrex     , 	OKEX        , 	OXT/BTC, 	2.566e-05, 	3999.92, 	2.548e-05, 	117.0071, 	0.706436%, 	0.400000%, 	0.306436%
