2020-04-10 10:30:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17504, 	3999.92, 	0.174, 	156.6531, 	0.597701%, 	0.400000%, 	0.197701%
2020-04-10 10:30:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17504, 	3999.92, 	0.174, 	156.6531, 	0.597701%, 	0.400000%, 	0.197701%
2020-04-10 10:31:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17429, 	3999.92, 	0.1732, 	2006.7724, 	0.629330%, 	0.400000%, 	0.229330%
2020-04-10 10:31:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17429, 	3999.92, 	0.1732, 	2006.7724, 	0.629330%, 	0.400000%, 	0.229330%
2020-04-10 10:31:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17454, 	3999.92, 	0.1731, 	19400.1641, 	0.831889%, 	0.400000%, 	0.431889%
2020-04-10 10:31:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17454, 	3999.92, 	0.1731, 	19400.1641, 	0.831889%, 	0.400000%, 	0.431889%
2020-04-10 10:32:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17454, 	3999.92, 	0.1731, 	19275.2598, 	0.831889%, 	0.400000%, 	0.431889%
2020-04-10 10:32:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17479, 	3999.92, 	0.1729, 	156.6531, 	1.093117%, 	0.400000%, 	0.693117%
2020-04-10 10:32:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17479, 	3999.92, 	0.1729, 	156.6531, 	1.093117%, 	0.400000%, 	0.693117%
2020-04-10 10:32:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17479, 	3999.92, 	0.1729, 	156.6531, 	1.093117%, 	0.400000%, 	0.693117%
2020-04-10 10:33:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17479, 	3999.92, 	0.1729, 	156.6531, 	1.093117%, 	0.400000%, 	0.693117%
2020-04-10 10:33:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17445, 	3999.92, 	0.1729, 	156.6531, 	0.896472%, 	0.400000%, 	0.496472%
2020-04-10 10:33:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17445, 	3999.92, 	0.1729, 	156.6531, 	0.896472%, 	0.400000%, 	0.496472%
2020-04-10 10:33:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17445, 	3999.92, 	0.1729, 	156.6531, 	0.896472%, 	0.400000%, 	0.496472%
2020-04-10 10:34:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17445, 	3999.92, 	0.1729, 	156.6531, 	0.896472%, 	0.400000%, 	0.496472%
2020-04-10 10:34:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17429, 	3999.92, 	0.1729, 	156.6531, 	0.803933%, 	0.400000%, 	0.403933%
2020-04-10 10:34:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16727, 	4000.0, 	0.1731, 	15312.2327, 	-3.367995%, 	0.400000%, 	-3.767995%
2020-04-10 11:19:39, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16229, 	3999.92, 	0.1615, 	4000.0, 	0.489164%, 	0.400000%, 	0.089164%
2020-04-10 11:19:55, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16224, 	3999.92, 	0.1615, 	4000.0, 	0.458204%, 	0.400000%, 	0.058204%
2020-04-10 11:20:10, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16224, 	3999.92, 	0.1617, 	4000.0, 	0.333952%, 	0.400000%, 	-0.066048%
2020-04-10 12:06:55, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1659, 	3999.92, 	0.1652, 	500.0, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 12:07:10, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1659, 	3999.92, 	0.1652, 	500.0, 	0.423729%, 	0.400000%, 	0.023729%
2020-04-10 12:07:25, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.16585, 	3999.92, 	0.1652, 	500.0, 	0.393462%, 	0.400000%, 	-0.006538%
2020-04-10 14:10:40, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.18278, 	3999.92, 	0.1817, 	156.6531, 	0.594386%, 	0.400000%, 	0.194386%
2020-04-10 14:10:55, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.18184, 	3999.92, 	0.181, 	4000.0, 	0.464088%, 	0.400000%, 	0.064088%
2020-04-10 14:11:10, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17824, 	585.12428685, 	0.1803, 	4000.0, 	-1.142540%, 	0.400000%, 	-1.542540%
2020-04-10 15:54:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17733, 	3999.92, 	0.1763, 	4000.0, 	0.584231%, 	0.400000%, 	0.184231%
2020-04-10 15:55:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17844, 	3999.92, 	0.1773, 	69.8631, 	0.642978%, 	0.400000%, 	0.242978%
2020-04-10 15:55:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17839, 	3999.92, 	0.1772, 	4000.0, 	0.671558%, 	0.400000%, 	0.271558%
2020-04-10 15:55:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17844, 	3999.92, 	0.1773, 	4069.8631, 	0.642978%, 	0.400000%, 	0.242978%
2020-04-10 15:55:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17844, 	3999.92, 	0.1773, 	4069.8631, 	0.642978%, 	0.400000%, 	0.242978%
2020-04-10 15:56:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17844, 	3999.92, 	0.1773, 	69.8631, 	0.642978%, 	0.400000%, 	0.242978%
2020-04-10 15:56:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17792, 	3999.92, 	0.1769, 	4000.0, 	0.576597%, 	0.400000%, 	0.176597%
2020-04-10 15:56:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17792, 	3999.92, 	0.1767, 	4000.0, 	0.690436%, 	0.400000%, 	0.290436%
2020-04-10 15:56:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17737, 	3999.92, 	0.1762, 	4000.0, 	0.664018%, 	0.400000%, 	0.264018%
2020-04-10 15:57:12, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17737, 	3999.92, 	0.1762, 	4000.0, 	0.664018%, 	0.400000%, 	0.264018%
2020-04-10 15:57:27, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.1773, 	1410.54247469, 	0.1761, 	4000.0, 	0.681431%, 	0.400000%, 	0.281431%
2020-04-10 15:57:42, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.17679, 	3999.92, 	0.1758, 	4000.0, 	0.563140%, 	0.400000%, 	0.163140%
2020-04-10 15:57:57, 	Bittrex     , 	OKEX        , 	OXT/USDT, 	0.176, 	3999.92, 	0.1752, 	4000.0, 	0.456621%, 	0.400000%, 	0.056621%
