2020-04-11 10:59:29, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 10:59:44, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:00:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:00:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:00:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:00:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:01:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:01:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:01:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:01:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:02:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:02:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:02:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:02:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:03:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:03:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:03:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:03:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:04:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:04:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:04:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:04:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:05:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:05:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:05:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:05:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:06:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:06:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:06:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:06:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:07:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:07:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:07:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:07:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:08:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:08:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:08:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:08:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:09:00, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:09:15, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:09:30, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
2020-04-11 11:09:45, 	Bittrex     , 	OKEX        , 	SPND/BTC, 	1.3e-07, 	86623.64858776, 	1.25e-07, 	10.0, 	4.000000%, 	0.400000%, 	3.600000%
