2020-04-10 18:57:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:57:51, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:58:06, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:58:21, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:58:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:58:51, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:59:06, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:59:21, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:59:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 18:59:51, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:00:06, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:00:21, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:00:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:00:51, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:01:06, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:01:21, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:01:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:01:51, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:02:06, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:02:21, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:02:36, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:02:52, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:03:07, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:03:22, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
2020-04-10 19:03:37, 	Bittrex     , 	Poloniex    , 	STORJ/BTC, 	1.321e-05, 	39.0, 	1.312e-05, 	0.10478798, 	0.685976%, 	0.340000%, 	0.345976%
