2020-04-07 23:43:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03268, 	16.103629, 	1.0256, 	87.07238569, 	0.690328%, 	0.460000%, 	0.230328%
2020-04-07 23:44:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03273, 	16.103629, 	1.0256, 	87.07238569, 	0.695203%, 	0.460000%, 	0.235203%
2020-04-07 23:44:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03274, 	16.103629, 	1.0256, 	87.07238569, 	0.696178%, 	0.460000%, 	0.236178%
2020-04-07 23:45:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03275, 	16.103629, 	1.0256, 	87.07238569, 	0.697153%, 	0.460000%, 	0.237153%
2020-04-07 23:45:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03274, 	16.103629, 	1.0256, 	87.07238569, 	0.696178%, 	0.460000%, 	0.236178%
2020-04-07 23:46:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03276, 	16.103629, 	1.0256, 	87.07238569, 	0.698128%, 	0.460000%, 	0.238128%
2020-04-07 23:46:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.0328, 	16.103629, 	1.0256, 	87.07238569, 	0.702028%, 	0.460000%, 	0.242028%
2020-04-07 23:47:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03363, 	1809.28556052, 	1.0256, 	87.07238569, 	0.782956%, 	0.460000%, 	0.322956%
2020-04-07 23:47:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03484, 	1811.52497407, 	1.0256, 	87.07238569, 	0.900936%, 	0.460000%, 	0.440936%
2020-04-07 23:48:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03484, 	1984.80525809, 	1.0256, 	87.07238569, 	0.900936%, 	0.460000%, 	0.440936%
2020-04-07 23:48:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03493, 	500.51934684, 	1.0256, 	87.07238569, 	0.909711%, 	0.460000%, 	0.449711%
2020-04-07 23:49:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03501, 	500.67476553, 	1.0256, 	87.07238569, 	0.917512%, 	0.460000%, 	0.457512%
2020-04-07 23:49:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03507, 	500.38789815, 	1.0256, 	87.07238569, 	0.923362%, 	0.460000%, 	0.463362%
2020-04-07 23:50:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03534, 	500.46408477, 	1.0256, 	87.07238569, 	0.949688%, 	0.460000%, 	0.489688%
2020-04-07 23:50:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03536, 	16.103629, 	1.0256, 	87.07238569, 	0.951638%, 	0.460000%, 	0.491638%
2020-04-07 23:51:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03504, 	16.103629, 	1.0256, 	87.07238569, 	0.920437%, 	0.460000%, 	0.460437%
2020-04-07 23:51:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03508, 	16.103629, 	1.0256, 	87.07238569, 	0.924337%, 	0.460000%, 	0.464337%
2020-04-07 23:52:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03508, 	16.103629, 	1.0256, 	87.07238569, 	0.924337%, 	0.460000%, 	0.464337%
2020-04-07 23:52:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03501, 	11.51739247, 	1.0255, 	300.0, 	0.927353%, 	0.460000%, 	0.467353%
2020-04-07 23:53:07, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03509, 	1830.03288641, 	1.0255, 	300.0, 	0.935154%, 	0.460000%, 	0.475154%
2020-04-07 23:53:37, 	Kraken      , 	Bitfinex    , 	DAI/USD, 	1.03512, 	9.49001796, 	1.0255, 	300.0, 	0.938079%, 	0.460000%, 	0.478079%
