2020-04-07 23:50:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:50:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:51:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:51:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03492, 	10.0, 	1.02115796, 	5.4325146, 	1.347690%, 	0.510000%, 	0.837690%
2020-04-07 23:52:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03225, 	10.0, 	1.02115796, 	5.4325146, 	1.086222%, 	0.510000%, 	0.576222%
2020-04-07 23:52:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03489, 	10.0, 	1.021158, 	10.0, 	1.344748%, 	0.510000%, 	0.834748%
2020-04-07 23:53:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:53:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03489, 	10.0, 	1.02115796, 	5.43421962, 	1.344752%, 	0.510000%, 	0.834752%
2020-04-07 23:54:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03489, 	10.0, 	1.02115795, 	5.43465229, 	1.344753%, 	0.510000%, 	0.834753%
2020-04-07 23:54:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:55:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03522, 	10.0, 	1.021158, 	10.0, 	1.377064%, 	0.510000%, 	0.867064%
2020-04-07 23:55:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02805, 	10.0, 	1.021158, 	10.0, 	0.674920%, 	0.510000%, 	0.164920%
2020-04-07 23:56:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02813, 	10.0, 	1.021158, 	10.0, 	0.682754%, 	0.510000%, 	0.172754%
2020-04-07 23:56:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02802, 	10.0, 	1.021158, 	10.0, 	0.671982%, 	0.510000%, 	0.161982%
2020-04-07 23:57:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02802, 	10.0, 	1.021158, 	10.0, 	0.671982%, 	0.510000%, 	0.161982%
2020-04-07 23:57:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02813, 	10.0, 	1.021158, 	10.0, 	0.682754%, 	0.510000%, 	0.172754%
2020-04-07 23:58:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02819, 	10.0, 	1.021158, 	10.0, 	0.688630%, 	0.510000%, 	0.178630%
2020-04-07 23:58:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02821, 	10.0, 	1.021158, 	10.0, 	0.690589%, 	0.510000%, 	0.180589%
2020-04-07 23:59:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02802, 	10.0, 	1.021158, 	10.0, 	0.671982%, 	0.510000%, 	0.161982%
2020-04-07 23:59:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02802, 	10.0, 	1.02115799, 	5.43532522, 	0.671983%, 	0.510000%, 	0.161983%
2020-04-08 00:00:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03548, 	10.0, 	1.021158, 	10.0, 	1.402525%, 	0.510000%, 	0.892525%
2020-04-08 00:00:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03548, 	10.0, 	1.021158, 	10.0, 	1.402525%, 	0.510000%, 	0.892525%
2020-04-08 00:01:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.02802, 	10.0, 	1.021158, 	10.0, 	0.671982%, 	0.510000%, 	0.161982%
2020-04-08 00:01:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:02:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:02:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:03:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03321, 	10.0, 	1.021158, 	10.0, 	1.180229%, 	0.510000%, 	0.670229%
2020-04-08 00:03:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03321, 	10.0, 	1.021158, 	10.0, 	1.180229%, 	0.510000%, 	0.670229%
2020-04-08 00:04:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03321, 	10.0, 	1.021158, 	10.0, 	1.180229%, 	0.510000%, 	0.670229%
2020-04-08 00:04:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:05:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:05:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:06:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:06:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:07:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:07:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:08:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:08:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:09:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:09:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:10:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:10:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:11:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03288, 	10.0, 	1.021158, 	10.0, 	1.147912%, 	0.510000%, 	0.637912%
2020-04-08 00:11:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:12:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03044, 	10.0, 	1.021158, 	10.0, 	0.908968%, 	0.510000%, 	0.398968%
2020-04-08 00:12:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03044, 	10.0, 	1.021158, 	10.0, 	0.908968%, 	0.510000%, 	0.398968%
2020-04-08 00:13:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03044, 	10.0, 	1.021158, 	10.0, 	0.908968%, 	0.510000%, 	0.398968%
2020-04-08 00:13:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0329, 	10.0, 	1.021158, 	10.0, 	1.149871%, 	0.510000%, 	0.639871%
2020-04-08 00:14:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:14:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.0304, 	10.0, 	1.021158, 	10.0, 	0.905051%, 	0.510000%, 	0.395051%
2020-04-08 00:15:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03331, 	10.0, 	1.021158, 	10.0, 	1.190022%, 	0.510000%, 	0.680022%
2020-04-08 00:15:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03331, 	10.0, 	1.021158, 	10.0, 	1.190022%, 	0.510000%, 	0.680022%
2020-04-08 00:16:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03367, 	10.0, 	1.021158, 	10.0, 	1.225276%, 	0.510000%, 	0.715276%
2020-04-08 00:16:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03367, 	10.0, 	1.021158, 	10.0, 	1.225276%, 	0.510000%, 	0.715276%
2020-04-08 00:17:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03366, 	10.0, 	1.021158, 	10.0, 	1.224296%, 	0.510000%, 	0.714296%
2020-04-08 00:17:31, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03369, 	10.0, 	1.021158, 	10.0, 	1.227234%, 	0.510000%, 	0.717234%
2020-04-08 00:18:01, 	Kraken      , 	Bittrex     , 	DAI/USDT, 	1.03369, 	10.0, 	1.021158, 	10.0, 	1.227234%, 	0.510000%, 	0.717234%
