2020-04-10 10:07:35, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:07:50, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:08:05, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:08:20, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:08:35, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:08:50, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:09:05, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	67.73, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:09:20, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:09:35, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:09:50, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:10:05, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:10:20, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:10:35, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:10:50, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00174021, 	12.82650633, 	2.286506%, 	0.510000%, 	1.776506%
2020-04-10 10:11:05, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:11:20, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:11:35, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:11:51, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:12:06, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:12:21, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.565, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:12:36, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.526, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:12:51, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.526, 	0.00175761, 	0.57438413, 	1.273889%, 	0.510000%, 	0.763889%
2020-04-10 10:13:06, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.526, 	0.0017576, 	2.6694404, 	1.274465%, 	0.510000%, 	0.764465%
2020-04-10 10:13:21, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.526, 	0.0017576, 	2.6694404, 	1.274465%, 	0.510000%, 	0.764465%
2020-04-10 10:13:36, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00178, 	60.526, 	0.0017576, 	2.6694404, 	1.274465%, 	0.510000%, 	0.764465%
2020-04-10 10:13:51, 	Kraken      , 	Bittrex     , 	GNO/BTC, 	0.00177, 	33.137, 	0.00176131, 	0.57438413, 	0.493383%, 	0.510000%, 	-0.016617%
