2020-04-11 17:59:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.344e-05, 	2792.014, 	3.303e-05, 	15.48838758, 	1.241296%, 	0.510000%, 	0.731296%
2020-04-11 17:59:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.344e-05, 	2792.014, 	3.303e-05, 	15.48838758, 	1.241296%, 	0.510000%, 	0.731296%
2020-04-11 18:00:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.344e-05, 	3038.963, 	3.303e-05, 	15.48838758, 	1.241296%, 	0.510000%, 	0.731296%
2020-04-11 18:00:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	3710.412, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:00:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	3957.36, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:00:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:01:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:01:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:01:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:01:47, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:02:02, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:02:17, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
2020-04-11 18:02:32, 	Kraken      , 	Bittrex     , 	ICX/BTC, 	3.345e-05, 	2806.289, 	3.303e-05, 	15.48838758, 	1.271571%, 	0.510000%, 	0.761571%
