2020-04-08 00:07:24, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0269, 	1000.0, 	0.582335%, 	0.410000%, 	0.172335%
2020-04-08 00:07:54, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0269, 	1000.0, 	0.582335%, 	0.410000%, 	0.172335%
2020-04-08 00:08:24, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0269, 	1000.0, 	0.582335%, 	0.410000%, 	0.172335%
2020-04-08 00:08:54, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0269, 	700.0, 	0.582335%, 	0.410000%, 	0.172335%
2020-04-08 00:09:24, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0268, 	700.0, 	0.592131%, 	0.410000%, 	0.182131%
2020-04-08 00:09:54, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0268, 	700.0, 	0.592131%, 	0.410000%, 	0.182131%
2020-04-08 00:10:24, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0268, 	700.0, 	0.592131%, 	0.410000%, 	0.182131%
2020-04-08 00:10:54, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03288, 	500.0, 	1.0268, 	700.0, 	0.592131%, 	0.410000%, 	0.182131%
2020-04-08 00:11:24, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03039, 	4937.332, 	1.0268, 	700.0, 	0.349630%, 	0.410000%, 	-0.060370%
2020-04-08 00:16:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03367, 	283.143, 	1.0268, 	380.2, 	0.669069%, 	0.410000%, 	0.259069%
2020-04-08 00:17:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03366, 	2506.369, 	1.0268, 	300.0, 	0.668095%, 	0.410000%, 	0.258095%
2020-04-08 00:17:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03369, 	1953.471, 	1.0269, 	75.0, 	0.661213%, 	0.410000%, 	0.251213%
2020-04-08 00:18:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03369, 	1953.471, 	1.0269, 	75.0, 	0.661213%, 	0.410000%, 	0.251213%
2020-04-08 00:18:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.04159, 	120.136, 	1.0269, 	75.0, 	1.430519%, 	0.410000%, 	1.020519%
2020-04-08 00:19:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.0425, 	75.0, 	1.0268, 	75.0, 	1.529022%, 	0.410000%, 	1.119022%
2020-04-08 00:19:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03993, 	98.3, 	1.0268, 	15.387, 	1.278730%, 	0.410000%, 	0.868730%
2020-04-08 00:20:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	410.887, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:20:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	410.887, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:21:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	837.658, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:21:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	837.658, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:22:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	837.658, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:22:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	2141.651, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:23:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	2141.651, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:23:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	300.0, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:24:04, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	2816.8, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 00:24:34, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.03208, 	149.1, 	1.0268, 	2711.346, 	0.514219%, 	0.410000%, 	0.104219%
2020-04-08 07:22:27, 	Kraken      , 	OKEX        , 	DAI/USDT, 	1.01939, 	2443.342, 	1.0258, 	1305.0, 	-0.624878%, 	0.410000%, 	-1.034878%
