2020-04-08 18:07:54, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	953.767, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:08:09, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	856.164, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:08:24, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	856.164, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:08:39, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	856.164, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:08:54, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	856.164, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:09:09, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	856.164, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:09:24, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	732.124, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:09:39, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	732.124, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:09:54, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3499e-05, 	0.001, 	8.3e-05, 	723.4734, 	0.601205%, 	0.410000%, 	0.191205%
2020-04-08 18:10:09, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3499e-05, 	0.001, 	8.3e-05, 	723.4734, 	0.601205%, 	0.410000%, 	0.191205%
2020-04-08 18:10:24, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	176.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:10:39, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:10:54, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:11:09, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:11:24, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:11:39, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:11:54, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:12:09, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	76.284, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:12:24, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.3367e-05, 	0.004, 	8.3e-05, 	723.4734, 	0.442169%, 	0.410000%, 	0.032169%
2020-04-08 18:12:39, 	Kraken      , 	OKEX        , 	NANO/BTC, 	8.2836e-05, 	10.021, 	8.3e-05, 	723.4734, 	-0.197590%, 	0.410000%, 	-0.607590%
