2020-04-09 21:34:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:34:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:34:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:34:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:35:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:35:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:35:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:35:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:36:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:36:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:36:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:36:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:37:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:37:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:37:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:37:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:38:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:38:25, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:38:40, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:38:55, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
2020-04-09 21:39:10, 	Kraken      , 	OKEX        , 	OMG/ETH, 	0.00357828, 	1145.327, 	0.00356, 	73.0, 	0.513483%, 	0.410000%, 	0.103483%
