2020-04-09 09:59:45, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:00:00, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:00:15, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:00:30, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:00:45, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:01:00, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:01:15, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.512e-05, 	0.00472, 	0.411184%, 	0.350000%, 	0.061184%
2020-04-09 10:01:30, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	8.547e-05, 	539.605, 	8.547e-05, 	1.18170119, 	0.000000%, 	0.350000%, 	-0.350000%
2020-04-10 16:43:10, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.906e-05, 	1539.47924469, 	0.430053%, 	0.350000%, 	0.080053%
2020-04-10 16:43:25, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.906e-05, 	918.06102, 	0.430053%, 	0.350000%, 	0.080053%
2020-04-10 16:43:40, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.906e-05, 	920.60202, 	0.430053%, 	0.350000%, 	0.080053%
2020-04-10 16:43:55, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.906e-05, 	920.60202, 	0.430053%, 	0.350000%, 	0.080053%
2020-04-10 16:44:10, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.905e-05, 	2.541, 	0.442758%, 	0.350000%, 	0.092758%
2020-04-10 16:44:25, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.902e-05, 	239.34204329, 	0.480891%, 	0.350000%, 	0.130891%
2020-04-10 16:44:40, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.901e-05, 	909.7902, 	0.493608%, 	0.350000%, 	0.143608%
2020-04-10 16:44:55, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.901e-05, 	909.7902, 	0.493608%, 	0.350000%, 	0.143608%
2020-04-10 16:45:10, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.94e-05, 	300.0, 	7.901e-05, 	909.7902, 	0.493608%, 	0.350000%, 	0.143608%
2020-04-10 16:45:25, 	Kraken      , 	Poloniex    , 	OMG/BTC, 	7.8761e-05, 	802.168, 	7.901e-05, 	909.7902, 	-0.315150%, 	0.350000%, 	-0.665150%
