2020-04-09 12:48:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10130.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:49:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	22071.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:49:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:49:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:49:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:50:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:50:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:50:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:50:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:51:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:51:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:51:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:51:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:52:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:52:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:52:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:52:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:53:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:53:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:53:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:53:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:54:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	10151.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:54:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	9771.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:54:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	9771.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:54:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	9771.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:55:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	173.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:55:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	173.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:55:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	173.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:55:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	173.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:56:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	173.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:56:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.97e-06, 	282.0, 	1.006036%, 	0.250000%, 	0.756036%
2020-04-09 12:56:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.97e-06, 	282.0, 	1.006036%, 	0.250000%, 	0.756036%
2020-04-09 12:56:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.97e-06, 	282.0, 	1.006036%, 	0.250000%, 	0.756036%
2020-04-09 12:57:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.97e-06, 	282.0, 	1.006036%, 	0.250000%, 	0.756036%
2020-04-09 12:57:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	32427.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:57:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	27975.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:57:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	32334.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:58:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	32334.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:58:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	4.99e-06, 	1122.0, 	0.601202%, 	0.250000%, 	0.351202%
2020-04-09 12:58:32, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:58:47, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:59:02, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:59:17, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:59:33, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
2020-04-09 12:59:48, 	OKEX        , 	Binance     , 	ARDR/BTC, 	5.02e-06, 	8.0, 	5e-06, 	8788.0, 	0.400000%, 	0.250000%, 	0.150000%
