2020-04-09 06:59:47, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.49e-05, 	364.646, 	2.471e-05, 	10195.0, 	0.768919%, 	0.250000%, 	0.518919%
2020-04-09 07:00:02, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.486e-05, 	5000.0, 	2.469e-05, 	24.0, 	0.688538%, 	0.250000%, 	0.438538%
2020-04-09 07:00:17, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.486e-05, 	5000.0, 	2.471e-05, 	10788.0, 	0.607042%, 	0.250000%, 	0.357042%
2020-04-09 07:00:32, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.475e-05, 	10.6346, 	2.468e-05, 	2393.0, 	0.283630%, 	0.250000%, 	0.033630%
2020-04-09 07:00:47, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.464e-05, 	978.6146, 	2.469e-05, 	8346.0, 	-0.202511%, 	0.250000%, 	-0.452511%
2020-04-09 09:15:59, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.408e-05, 	3111.48, 	2.401e-05, 	566.0, 	0.291545%, 	0.250000%, 	0.041545%
2020-04-09 09:16:14, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	5000.0, 	2.401e-05, 	566.0, 	0.583090%, 	0.250000%, 	0.333090%
2020-04-09 09:16:29, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	5000.0, 	2.404e-05, 	3127.0, 	0.457571%, 	0.250000%, 	0.207571%
2020-04-09 09:16:44, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	5000.0, 	2.402e-05, 	2700.0, 	0.541216%, 	0.250000%, 	0.291216%
2020-04-09 09:16:59, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.401e-05, 	5828.0, 	0.791337%, 	0.250000%, 	0.541337%
2020-04-09 09:17:14, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.402e-05, 	566.0, 	0.749376%, 	0.250000%, 	0.499376%
2020-04-09 09:17:29, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.4e-05, 	1073.0, 	0.833333%, 	0.250000%, 	0.583333%
2020-04-09 09:17:44, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.398e-05, 	569.0, 	0.917431%, 	0.250000%, 	0.667431%
2020-04-09 09:17:59, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.4e-05, 	1819.0, 	0.833333%, 	0.250000%, 	0.583333%
2020-04-09 09:18:14, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	9243.5809, 	2.399e-05, 	568.0, 	0.875365%, 	0.250000%, 	0.625365%
2020-04-09 09:18:29, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.413e-05, 	897.0652, 	2.398e-05, 	4501.0, 	0.625521%, 	0.250000%, 	0.375521%
2020-04-09 09:18:44, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	5000.0, 	2.398e-05, 	5029.0, 	0.708924%, 	0.250000%, 	0.458924%
2020-04-09 09:18:59, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	5000.0, 	2.395e-05, 	4958.0, 	1.043841%, 	0.250000%, 	0.793841%
2020-04-09 09:19:14, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.42e-05, 	5000.0, 	2.397e-05, 	540.0, 	0.959533%, 	0.250000%, 	0.709533%
2020-04-09 09:19:29, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	1782.4336, 	2.397e-05, 	3688.0, 	0.750939%, 	0.250000%, 	0.500939%
2020-04-09 09:19:44, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	427.1681, 	2.397e-05, 	418.0, 	0.750939%, 	0.250000%, 	0.500939%
2020-04-09 09:19:59, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	2277.8038, 	2.401e-05, 	13499.0, 	0.583090%, 	0.250000%, 	0.333090%
2020-04-09 09:20:14, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	2277.8038, 	2.4e-05, 	6527.0, 	0.625000%, 	0.250000%, 	0.375000%
2020-04-09 09:20:29, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.415e-05, 	5525.0925, 	2.4e-05, 	8132.0, 	0.625000%, 	0.250000%, 	0.375000%
2020-04-09 09:20:44, 	OKEX        , 	Binance     , 	BAT/BTC, 	2.406e-05, 	7199.6253, 	2.402e-05, 	5029.0, 	0.166528%, 	0.250000%, 	-0.083472%
