2020-04-10 05:12:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.87e-06, 	34362.0, 	0.696864%, 	0.250000%, 	0.446864%
2020-04-10 05:12:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	19617.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:12:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	19617.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:13:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	19617.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:13:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:13:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:13:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:14:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:14:22, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:14:37, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:14:52, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
2020-04-10 05:15:07, 	OKEX        , 	Binance     , 	CVC/BTC, 	2.89e-06, 	0.014, 	2.86e-06, 	18918.0, 	1.048951%, 	0.250000%, 	0.798951%
