2020-04-09 00:54:54, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:55:09, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:55:24, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:55:39, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:55:54, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:56:09, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:56:24, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:56:39, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:56:54, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:57:09, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:57:24, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:57:39, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:57:54, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:58:09, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.47e-05, 	32.5582, 	1.466e-05, 	73.0, 	0.272851%, 	0.250000%, 	0.022851%
2020-04-09 00:58:24, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.45e-05, 	1639.5756, 	1.466e-05, 	73.0, 	-1.091405%, 	0.250000%, 	-1.341405%
2020-04-11 12:55:36, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.75e-05, 	82.3741, 	1.738e-05, 	749.0, 	0.690449%, 	0.250000%, 	0.440449%
2020-04-11 12:55:51, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.75e-05, 	82.3741, 	1.74e-05, 	29631.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-11 12:56:06, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.75e-05, 	82.3741, 	1.74e-05, 	26473.0, 	0.574713%, 	0.250000%, 	0.324713%
2020-04-11 12:56:21, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.75e-05, 	82.3741, 	1.75e-05, 	3429.0, 	0.000000%, 	0.250000%, 	-0.250000%
2020-04-11 15:10:08, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	2955.8012, 	1.77e-05, 	4705.0, 	1.129944%, 	0.250000%, 	0.879944%
2020-04-11 15:10:23, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	2955.8012, 	1.774e-05, 	9.0, 	0.901917%, 	0.250000%, 	0.651917%
2020-04-11 15:10:38, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.79e-05, 	2955.8012, 	1.788e-05, 	1776.0, 	0.111857%, 	0.250000%, 	-0.138143%
2020-04-11 15:34:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.75e-05, 	543.0, 	4.000000%, 	0.250000%, 	3.750000%
2020-04-11 15:34:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.761e-05, 	7.0, 	3.350369%, 	0.250000%, 	3.100369%
2020-04-11 15:34:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.757e-05, 	543.0, 	3.585657%, 	0.250000%, 	3.335657%
2020-04-11 15:35:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.744e-05, 	749.0, 	4.357798%, 	0.250000%, 	4.107798%
2020-04-11 15:35:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.74e-05, 	749.0, 	4.597701%, 	0.250000%, 	4.347701%
2020-04-11 15:35:40, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	71.1198, 	1.747e-05, 	550.0, 	4.178592%, 	0.250000%, 	3.928592%
2020-04-11 15:35:55, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.738e-05, 	543.0, 	4.718067%, 	0.250000%, 	4.468067%
2020-04-11 15:36:10, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.741e-05, 	366.0, 	4.537622%, 	0.250000%, 	4.287622%
2020-04-11 15:36:25, 	OKEX        , 	Binance     , 	EDO/BTC, 	1.82e-05, 	199.5918, 	1.746e-05, 	351.0, 	4.238259%, 	0.250000%, 	3.988259%
