2020-04-09 06:22:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.435e-05, 	2500.0, 	2.422e-05, 	3090.90751721, 	0.536746%, 	0.350000%, 	0.186746%
2020-04-09 06:22:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.445e-05, 	2500.0, 	2.422e-05, 	3090.90751721, 	0.949628%, 	0.350000%, 	0.599628%
2020-04-09 06:23:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	4877.2858, 	2.422e-05, 	3090.90751721, 	1.156069%, 	0.350000%, 	0.806069%
2020-04-09 06:23:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	4877.2858, 	2.421e-05, 	4468.62843, 	1.197852%, 	0.350000%, 	0.847852%
2020-04-09 06:23:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	3314.1649, 	2.422e-05, 	3090.90751721, 	1.156069%, 	0.350000%, 	0.806069%
2020-04-09 06:23:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	2523.8428, 	2.422e-05, 	1955.55604721, 	1.156069%, 	0.350000%, 	0.806069%
2020-04-09 06:24:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	978.6715, 	2.422e-05, 	1135.35147, 	1.156069%, 	0.350000%, 	0.806069%
2020-04-09 06:24:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.422e-05, 	1135.35147, 	1.156069%, 	0.350000%, 	0.806069%
2020-04-09 06:24:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.423e-05, 	984.6381416, 	1.114321%, 	0.350000%, 	0.764321%
2020-04-09 06:24:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	970.8176, 	2.424e-05, 	757.75, 	1.072607%, 	0.350000%, 	0.722607%
2020-04-09 06:25:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.45e-05, 	587.5709, 	2.423e-05, 	1134.88289, 	1.114321%, 	0.350000%, 	0.764321%
2020-04-09 06:25:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.453e-05, 	303.158, 	2.423e-05, 	2124.57201272, 	1.238135%, 	0.350000%, 	0.888135%
2020-04-09 06:25:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.461e-05, 	1.0516, 	2.42e-05, 	4111.01804813, 	1.694215%, 	0.350000%, 	1.344215%
2020-04-09 06:25:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.42e-05, 	4111.01804813, 	1.363636%, 	0.350000%, 	1.013636%
2020-04-09 06:26:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.424e-05, 	2738.55411057, 	1.196370%, 	0.350000%, 	0.846370%
2020-04-09 06:26:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.422e-05, 	1968.30382477, 	1.279934%, 	0.350000%, 	0.929934%
2020-04-09 06:26:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.453e-05, 	63.9618, 	2.423e-05, 	985.89081938, 	1.238135%, 	0.350000%, 	0.888135%
2020-04-09 06:26:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.424e-05, 	1134.41471, 	1.526403%, 	0.350000%, 	1.176403%
2020-04-09 06:27:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.424e-05, 	1134.41471, 	1.526403%, 	0.350000%, 	1.176403%
2020-04-09 06:27:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.423e-05, 	1134.88289, 	1.568304%, 	0.350000%, 	1.218304%
2020-04-09 06:27:33, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.461e-05, 	93.6744, 	2.423e-05, 	2124.567675, 	1.568304%, 	0.350000%, 	1.218304%
2020-04-09 06:27:48, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.477e-05, 	0.5006, 	2.423e-05, 	4087.06645587, 	2.228642%, 	0.350000%, 	1.878642%
2020-04-09 06:28:03, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.477e-05, 	0.5006, 	2.423e-05, 	4087.06645587, 	2.228642%, 	0.350000%, 	1.878642%
2020-04-09 06:28:18, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.425e-05, 	151.26, 	2.422e-05, 	2943.02172661, 	0.123865%, 	0.350000%, 	-0.226135%
2020-04-09 06:32:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.46e-05, 	1818.1591, 	2.421e-05, 	4085.30796432, 	1.610905%, 	0.350000%, 	1.260905%
2020-04-09 06:33:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.471e-05, 	519.8821, 	2.421e-05, 	4085.30796432, 	2.065262%, 	0.350000%, 	1.715262%
2020-04-09 06:33:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.47e-05, 	1532.7333, 	2.421e-05, 	1135.82043, 	2.023957%, 	0.350000%, 	1.673957%
2020-04-09 06:33:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.465e-05, 	3216.5259, 	2.421e-05, 	1135.82043, 	1.817431%, 	0.350000%, 	1.467431%
2020-04-09 06:33:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.47e-05, 	4727.5905, 	2.421e-05, 	2113.53164176, 	2.023957%, 	0.350000%, 	1.673957%
2020-04-09 06:34:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	5000.0, 	2.421e-05, 	1135.82043, 	2.230483%, 	0.350000%, 	1.880483%
2020-04-09 06:34:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	3037.1302, 	2.418e-05, 	4061.62826099, 	2.357320%, 	0.350000%, 	2.007320%
2020-04-09 06:34:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	3037.1302, 	2.418e-05, 	2112.02917366, 	2.357320%, 	0.350000%, 	2.007320%
2020-04-09 06:34:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	1608.3067, 	2.421e-05, 	8816.36126569, 	2.230483%, 	0.350000%, 	1.880483%
2020-04-09 06:35:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	5000.0, 	2.421e-05, 	9952.18169569, 	2.230483%, 	0.350000%, 	1.880483%
2020-04-09 06:35:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	5000.0, 	2.419e-05, 	1136.75951, 	2.315006%, 	0.350000%, 	1.965006%
2020-04-09 06:35:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.474e-05, 	2162.2522, 	2.419e-05, 	1136.75951, 	2.273667%, 	0.350000%, 	1.923667%
2020-04-09 06:35:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.475e-05, 	4100.3679, 	2.419e-05, 	1136.75951, 	2.315006%, 	0.350000%, 	1.965006%
2020-04-09 06:36:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.478e-05, 	1506.3864, 	2.418e-05, 	983.11135959, 	2.481390%, 	0.350000%, 	2.131390%
2020-04-09 06:36:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.478e-05, 	4006.3864, 	2.42e-05, 	978.62733378, 	2.396694%, 	0.350000%, 	2.046694%
2020-04-09 06:36:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.479e-05, 	2000.0, 	2.421e-05, 	10935.44441222, 	2.395704%, 	0.350000%, 	2.045704%
2020-04-09 06:36:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.48e-05, 	1920.5322, 	2.423e-05, 	9785.81347211, 	2.352456%, 	0.350000%, 	2.002456%
2020-04-09 06:37:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.48e-05, 	6875.7564, 	2.43e-05, 	4503.6035, 	2.057613%, 	0.350000%, 	1.707613%
2020-04-09 06:37:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.485e-05, 	4700.8693, 	2.432e-05, 	2104.66712994, 	2.179276%, 	0.350000%, 	1.829276%
2020-04-09 06:37:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.485e-05, 	4699.8693, 	2.432e-05, 	2104.66712994, 	2.179276%, 	0.350000%, 	1.829276%
2020-04-09 06:37:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.483e-05, 	3000.0, 	2.432e-05, 	2104.66712994, 	2.097039%, 	0.350000%, 	1.747039%
2020-04-09 06:38:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.483e-05, 	3000.0, 	2.431e-05, 	4078.86677316, 	2.139037%, 	0.350000%, 	1.789037%
2020-04-09 06:38:16, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.5e-05, 	4833.9836, 	2.431e-05, 	4078.86677316, 	2.838338%, 	0.350000%, 	2.488338%
2020-04-09 06:38:31, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.48e-05, 	3801.3679, 	2.428e-05, 	2957.70452481, 	2.141680%, 	0.350000%, 	1.791680%
2020-04-09 06:38:46, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.48e-05, 	2219.981, 	2.424e-05, 	1134.41471, 	2.310231%, 	0.350000%, 	1.960231%
2020-04-09 06:39:01, 	OKEX        , 	Bitfinex    , 	BAT/BTC, 	2.552e-05, 	4219.8928, 	2.433e-05, 	3690.37315547, 	4.891081%, 	0.350000%, 	4.541081%
