2020-04-09 06:35:35, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.475e-05, 	5000.0, 	2.419e-05, 	2837.726, 	2.315006%, 	0.400000%, 	1.915006%
2020-04-09 06:35:50, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.478e-05, 	4.1201, 	2.417e-05, 	18285.51037164, 	2.523790%, 	0.400000%, 	2.123790%
2020-04-09 06:36:05, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.478e-05, 	1506.3864, 	2.417e-05, 	18285.51037164, 	2.523790%, 	0.400000%, 	2.123790%
2020-04-09 06:36:20, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.478e-05, 	4006.3864, 	2.417e-05, 	18285.51037164, 	2.523790%, 	0.400000%, 	2.123790%
2020-04-09 06:36:35, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.479e-05, 	2000.0, 	2.417e-05, 	18285.51037164, 	2.565163%, 	0.400000%, 	2.165163%
2020-04-09 06:36:50, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.48e-05, 	6920.5322, 	2.417e-05, 	18285.51037164, 	2.606537%, 	0.400000%, 	2.206537%
2020-04-09 06:37:05, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.48e-05, 	6875.7564, 	2.421e-05, 	0.8592216, 	2.437010%, 	0.400000%, 	2.037010%
2020-04-09 06:37:20, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.485e-05, 	4700.8693, 	2.421e-05, 	0.8592216, 	2.643536%, 	0.400000%, 	2.243536%
2020-04-09 06:37:35, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.485e-05, 	4699.8693, 	2.43e-05, 	198.0, 	2.263374%, 	0.400000%, 	1.863374%
2020-04-09 06:37:50, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.483e-05, 	3000.0, 	2.429e-05, 	86.9531, 	2.223137%, 	0.400000%, 	1.823137%
2020-04-09 06:38:05, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.483e-05, 	3000.0, 	2.429e-05, 	86.9531, 	2.223137%, 	0.400000%, 	1.823137%
2020-04-09 06:38:20, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.5e-05, 	4833.9836, 	2.428e-05, 	2829.373, 	2.965404%, 	0.400000%, 	2.565404%
2020-04-09 06:38:35, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.48e-05, 	2347.938, 	2.428e-05, 	2829.373, 	2.141680%, 	0.400000%, 	1.741680%
2020-04-09 06:38:50, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.552e-05, 	1605.6834, 	2.426e-05, 	2836.194, 	5.193735%, 	0.400000%, 	4.793735%
2020-04-09 06:39:05, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.465e-05, 	3019.536, 	2.433e-05, 	101.60340638, 	1.315249%, 	0.400000%, 	0.915249%
2020-04-09 06:39:20, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.506e-05, 	13.4478, 	2.426e-05, 	2834.842, 	3.297609%, 	0.400000%, 	2.897609%
2020-04-09 06:39:35, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.53e-05, 	1313.7798, 	2.424e-05, 	1653.1030621, 	4.372937%, 	0.400000%, 	3.972937%
2020-04-09 06:39:50, 	OKEX        , 	Bittrex     , 	BAT/BTC, 	2.421e-05, 	2074.3501, 	2.428e-05, 	2829.647, 	-0.288303%, 	0.400000%, 	-0.688303%
