2020-04-11 17:52:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0481, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:52:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0481, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:52:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0481, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:52:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1710.5987, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:53:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1710.5987, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:53:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1710.5987, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:53:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1710.5987, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:53:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0498, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:54:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	900.0, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:54:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0506, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:54:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0506, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:54:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.35e-05, 	1089.0506, 	3.303e-05, 	15.48838758, 	1.422949%, 	0.400000%, 	1.022949%
2020-04-11 17:55:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	2615.7211, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 17:55:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6167, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 17:55:42, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6167, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 17:55:57, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6167, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 17:56:12, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6167, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
2020-04-11 17:56:27, 	OKEX        , 	Bittrex     , 	ICX/BTC, 	3.34e-05, 	1089.6167, 	3.303e-05, 	15.48838758, 	1.120194%, 	0.400000%, 	0.720194%
