2020-04-09 17:20:57, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.956e-05, 	75.054, 	3.833e-05, 	133.34676401, 	3.208975%, 	0.400000%, 	2.808975%
2020-04-09 17:21:12, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.932e-05, 	369.925, 	3.833e-05, 	133.34676401, 	2.582833%, 	0.400000%, 	2.182833%
2020-04-09 17:21:27, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.953e-05, 	1090.363, 	3.833e-05, 	133.34676401, 	3.130707%, 	0.400000%, 	2.730707%
2020-04-09 17:21:42, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.966e-05, 	202.555, 	3.833e-05, 	133.34676401, 	3.469867%, 	0.400000%, 	3.069867%
2020-04-09 17:21:57, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.971e-05, 	266.907, 	3.833e-05, 	133.34676401, 	3.600313%, 	0.400000%, 	3.200313%
2020-04-09 17:22:12, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.977e-05, 	266.762, 	3.833e-05, 	133.34676401, 	3.756848%, 	0.400000%, 	3.356848%
2020-04-09 17:22:27, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.995e-05, 	74.322, 	3.833e-05, 	133.34676401, 	4.226454%, 	0.400000%, 	3.826454%
2020-04-09 17:22:42, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.982e-05, 	1710.863, 	3.833e-05, 	133.34676401, 	3.887295%, 	0.400000%, 	3.487295%
2020-04-09 17:22:57, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.982e-05, 	1710.863, 	3.833e-05, 	133.34676401, 	3.887295%, 	0.400000%, 	3.487295%
2020-04-09 17:23:12, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.982e-05, 	1710.863, 	3.833e-05, 	133.34676401, 	3.887295%, 	0.400000%, 	3.487295%
2020-04-09 17:23:27, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.986e-05, 	1721.204, 	3.833e-05, 	133.34676401, 	3.991651%, 	0.400000%, 	3.591651%
2020-04-09 17:23:42, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.95e-05, 	193.37, 	3.833e-05, 	133.34676401, 	3.052439%, 	0.400000%, 	2.652439%
2020-04-09 17:23:57, 	OKEX        , 	Bittrex     , 	MOF/BTC, 	3.958e-05, 	883.893, 	3.833e-05, 	133.34676401, 	3.261153%, 	0.400000%, 	2.861153%
