2020-04-09 06:07:09, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2819, 	1.297, 	0.28, 	335.3803475, 	0.678571%, 	0.400000%, 	0.278571%
2020-04-09 06:07:24, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.282, 	546.992, 	0.28, 	335.3803475, 	0.714286%, 	0.400000%, 	0.314286%
2020-04-09 06:07:39, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.282, 	546.992, 	0.28, 	335.3803475, 	0.714286%, 	0.400000%, 	0.314286%
2020-04-09 06:07:54, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2819, 	1.527, 	0.28, 	335.3803475, 	0.678571%, 	0.400000%, 	0.278571%
2020-04-09 06:08:09, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2822, 	1.871, 	0.28, 	335.3803475, 	0.785714%, 	0.400000%, 	0.385714%
2020-04-09 06:08:24, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2822, 	1.079, 	0.28, 	335.3803475, 	0.785714%, 	0.400000%, 	0.385714%
2020-04-09 06:08:39, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2821, 	1.191, 	0.28, 	335.3803475, 	0.750000%, 	0.400000%, 	0.350000%
2020-04-09 06:08:54, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.282, 	1.566, 	0.28, 	335.3803475, 	0.714286%, 	0.400000%, 	0.314286%
2020-04-09 06:09:09, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2822, 	1.626, 	0.28, 	335.3803475, 	0.785714%, 	0.400000%, 	0.385714%
2020-04-09 06:09:24, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2818, 	2.908, 	0.28, 	335.3803475, 	0.642857%, 	0.400000%, 	0.242857%
2020-04-09 06:09:39, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2818, 	1.59, 	0.28, 	335.3803475, 	0.642857%, 	0.400000%, 	0.242857%
2020-04-09 06:09:54, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2818, 	1.293, 	0.28, 	335.3803475, 	0.642857%, 	0.400000%, 	0.242857%
2020-04-09 06:10:09, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2818, 	1.293, 	0.28, 	335.3803475, 	0.642857%, 	0.400000%, 	0.242857%
2020-04-09 06:10:24, 	OKEX        , 	Bittrex     , 	MOF/USDT, 	0.2819, 	1.121, 	0.28, 	335.3803475, 	0.678571%, 	0.400000%, 	0.278571%
