2020-04-10 13:23:22, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:23:37, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:23:52, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:24:07, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:24:22, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:24:37, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	347983.7, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:24:52, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	531892.6, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:25:07, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	465000.9, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:25:22, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	465000.9, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:25:37, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.14e-08, 	465000.9, 	8e-08, 	0.07138881, 	1.750000%, 	0.400000%, 	1.350000%
2020-04-10 13:25:52, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.17e-08, 	285000.9, 	8e-08, 	0.07138881, 	2.125000%, 	0.400000%, 	1.725000%
2020-04-10 13:26:07, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	7.91e-08, 	265995.7, 	8e-08, 	0.07138881, 	-1.125000%, 	0.400000%, 	-1.525000%
2020-04-10 19:08:32, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	8.17e-08, 	0.9, 	8e-08, 	0.07138881, 	2.125000%, 	0.400000%, 	1.725000%
2020-04-10 19:08:47, 	OKEX        , 	Bittrex     , 	RFR/BTC, 	7.57e-08, 	448950.6, 	8e-08, 	0.07138881, 	-5.375000%, 	0.400000%, 	-5.775000%
