2020-04-07 23:40:53, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.67, 	75.0373, 	159.89, 	1.0, 	1.113265%, 	0.650000%, 	0.463265%
2020-04-07 23:41:23, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.67, 	0.8881, 	160.66, 	5.0, 	0.628657%, 	0.650000%, 	-0.021343%
2020-04-08 00:21:18, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.08, 	5.0, 	1.552678%, 	0.650000%, 	0.902678%
2020-04-08 00:21:48, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.08, 	5.0, 	1.552678%, 	0.650000%, 	0.902678%
2020-04-08 00:22:18, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.08, 	5.0, 	1.552678%, 	0.650000%, 	0.902678%
2020-04-08 00:22:48, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	11.8241, 	159.08, 	5.0, 	1.552678%, 	0.650000%, 	0.902678%
2020-04-08 00:23:18, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.58, 	5.0, 	1.234491%, 	0.650000%, 	0.584491%
2020-04-08 00:23:48, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.56, 	5.0, 	1.247180%, 	0.650000%, 	0.597180%
2020-04-08 00:24:18, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.54, 	5.0, 	1.259872%, 	0.650000%, 	0.609872%
2020-04-08 00:24:48, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	161.55, 	5.0, 	159.54, 	5.0, 	1.259872%, 	0.650000%, 	0.609872%
2020-04-08 07:22:27, 	OKEX        , 	Coinbase Pro, 	ETH/DAI, 	166.72, 	0.3547, 	167.9, 	15.0, 	-0.702799%, 	0.650000%, 	-1.352799%
