2020-04-08 21:30:18, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	472.9619, 	1.021, 	1446.587, 	0.509305%, 	0.410000%, 	0.099305%
2020-04-08 21:30:33, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	193.1307, 	1.021, 	1446.587, 	0.568071%, 	0.410000%, 	0.158071%
2020-04-08 21:30:48, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0273, 	279.4188, 	1.021, 	1000.0, 	0.617042%, 	0.410000%, 	0.207042%
2020-04-08 21:31:03, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	193.0743, 	1.021, 	1000.0, 	0.597453%, 	0.410000%, 	0.187453%
2020-04-08 21:31:18, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	279.7183, 	1.021, 	1000.0, 	0.509305%, 	0.410000%, 	0.099305%
2020-04-08 21:31:33, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	472.9619, 	1.021, 	1000.0, 	0.509305%, 	0.410000%, 	0.099305%
2020-04-08 21:31:48, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0267, 	193.1495, 	1.021, 	1000.0, 	0.558276%, 	0.410000%, 	0.148276%
2020-04-08 21:32:03, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	472.5475, 	1.021, 	1000.0, 	0.597453%, 	0.410000%, 	0.187453%
2020-04-08 21:32:18, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0272, 	193.0555, 	1.021, 	1000.0, 	0.607248%, 	0.410000%, 	0.197248%
2020-04-08 21:32:33, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0263, 	166.7206, 	1.021, 	1000.0, 	0.519099%, 	0.410000%, 	0.109099%
2020-04-08 21:32:48, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0262, 	279.7183, 	1.021, 	1000.0, 	0.509305%, 	0.410000%, 	0.099305%
2020-04-08 21:33:03, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0264, 	500.241, 	1.021, 	1000.0, 	0.528893%, 	0.410000%, 	0.118893%
2020-04-08 21:33:18, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	279.5549, 	1.021, 	660.518, 	0.568071%, 	0.410000%, 	0.158071%
2020-04-08 21:33:33, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0268, 	193.1307, 	1.021, 	660.518, 	0.568071%, 	0.410000%, 	0.158071%
2020-04-08 21:33:48, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0271, 	193.0743, 	1.021, 	660.518, 	0.597453%, 	0.410000%, 	0.187453%
2020-04-08 21:34:03, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0231, 	13.2423, 	1.02099, 	462.613, 	0.206662%, 	0.410000%, 	-0.203338%
2020-04-08 21:37:43, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0259, 	193.3001, 	1.021, 	660.518, 	0.479922%, 	0.410000%, 	0.069922%
2020-04-08 21:37:58, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0256, 	193.3566, 	1.021, 	660.518, 	0.450539%, 	0.410000%, 	0.040539%
2020-04-08 21:38:13, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0252, 	166.6777, 	1.021, 	660.518, 	0.411361%, 	0.410000%, 	0.001361%
2020-04-08 21:38:28, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0252, 	193.4321, 	1.021, 	660.518, 	0.411361%, 	0.410000%, 	0.001361%
2020-04-08 21:38:43, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0252, 	193.4321, 	1.021, 	660.518, 	0.411361%, 	0.410000%, 	0.001361%
2020-04-08 21:38:58, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0245, 	473.7468, 	1.021, 	660.518, 	0.342801%, 	0.410000%, 	-0.067199%
2020-04-08 23:11:16, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0255, 	194.0885, 	1.02097, 	840.0, 	0.443696%, 	0.410000%, 	0.033696%
2020-04-08 23:11:31, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0259, 	279.8427, 	1.02097, 	840.0, 	0.482874%, 	0.410000%, 	0.072874%
2020-04-08 23:11:46, 	OKEX        , 	Kraken      , 	DAI/USDT, 	1.0264, 	500.1336, 	1.02097, 	840.0, 	0.531847%, 	0.410000%, 	0.121847%
