2020-04-10 16:56:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	521.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:56:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	521.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:57:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:57:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:57:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:57:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:58:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:58:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:58:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:58:53, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:59:08, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:59:23, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
2020-04-10 16:59:38, 	OKEX        , 	Kraken      , 	LSK/BTC, 	0.000141, 	0.14069366, 	0.00013995, 	421.948, 	0.750268%, 	0.410000%, 	0.340268%
