2020-04-09 06:24:43, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1779, 	168.8238, 	0.17670429, 	0.18344336, 	0.676673%, 	0.240000%, 	0.436673%
2020-04-09 06:24:58, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1779, 	168.8238, 	0.17670429, 	0.18344336, 	0.676673%, 	0.240000%, 	0.436673%
2020-04-09 06:25:13, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1779, 	168.8238, 	0.17670429, 	0.18344336, 	0.676673%, 	0.240000%, 	0.436673%
2020-04-09 06:25:28, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.178, 	279.4889, 	0.17670429, 	0.18344336, 	0.733265%, 	0.240000%, 	0.493265%
2020-04-09 06:25:43, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1778, 	870.5282, 	0.17670071, 	3629.09233, 	0.622120%, 	0.240000%, 	0.382120%
2020-04-09 06:25:58, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.178, 	63.4172, 	0.17670071, 	3629.09233, 	0.735305%, 	0.240000%, 	0.495305%
2020-04-09 06:26:13, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	158.8547, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:26:28, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	158.8547, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:26:43, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.178, 	63.4172, 	0.17670429, 	0.18344336, 	0.733265%, 	0.240000%, 	0.493265%
2020-04-09 06:26:58, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	467.2473, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:27:13, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	33.6889, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:27:28, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	33.6889, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:27:43, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	33.6889, 	0.17670429, 	0.18344336, 	0.789856%, 	0.240000%, 	0.549856%
2020-04-09 06:27:58, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1781, 	33.6889, 	0.1766876, 	3629.09233, 	0.799377%, 	0.240000%, 	0.559377%
2020-04-09 06:28:13, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1762, 	130.6134, 	0.1766876, 	3629.09233, 	-0.275967%, 	0.240000%, 	-0.515967%
2020-04-09 06:34:49, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1795, 	83.5654, 	0.1762, 	2630.39202077, 	1.872872%, 	0.240000%, 	1.632872%
2020-04-09 06:35:04, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1798, 	5.8826, 	0.17619466, 	3634.66528, 	2.046225%, 	0.240000%, 	1.806225%
2020-04-09 06:35:19, 	OKEX        , 	Poloniex    , 	BAT/USDT, 	0.1798, 	5.8826, 	0.17619466, 	3634.66528, 	2.046225%, 	0.240000%, 	1.806225%
